arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3101,800012,0,2000,6000,6000,1536000,23.756,nan,0.01325211,0.00873698,0.01325211,0.00472989,72,72,0,1.00541794,1.01358283,1,b73efb07dfb4c772,0.7,0.95,1.4,2.3,101.74856567,0.0,22.80993157,13.18582916,13.16117859,13.14868736,0.56770265,1.00245053,1.00744306,1.00662718,1.02712273
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3102,800013,1,4000,6000,12000,3072000,22.212,nan,0.01310905,0.00827875,0.01310905,0.0048019,72,72,0,0.98149198,1.01358283,1,b181056edf43f5cd,0.75,1.0,1.5,2.45,98.87702179,0.0,22.71926887,13.03139782,13.15950394,13.14626122,0.59255475,1.00277891,1.00751603,1.00616178,1.02834528
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3103,800014,2,6000,6000,18000,4608000,22.239,nan,0.01314838,0.00829789,0.01314838,0.00465733,72,72,0,1.00991392,1.01358283,1,4b6462369cf56370,0.7,0.9,1.3,2.25,100.84941101,0.0,22.74151394,13.07238388,13.15626144,13.14643097,0.61104286,1.00273137,1.00756572,1.00660774,1.0326753
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3104,800015,3,8000,6000,24000,6144000,22.285,nan,0.01311199,0.00820651,0.01311199,0.00458636,72,72,0,0.98911846,1.01358283,1,b0d203e5504facc9,0.7,1.0,1.45,2.4,100.98144531,0.0,22.69856033,12.99812698,13.16057587,13.14267159,0.58545911,1.00262501,1.00746238,1.00673855,1.03109815
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3105,800016,4,10000,6000,30000,7680000,22.229,nan,0.01324382,0.00832243,0.01324382,0.00436526,72,72,0,1.00466084,1.01358283,1,2f68421342c3f500,0.65,0.9,1.3,2.25,100.30521393,0.0,22.77020375,13.11539459,13.15886211,13.15193272,0.58276683,1.00267604,1.00756157,1.0066187,1.03244352
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3106,800017,5,12000,6000,36000,9216000,22.208,nan,0.01303535,0.00825153,0.01303535,0.00443406,72,72,0,0.97596931,1.01358283,1,cb245a7b12bbc21e,0.75,1.0,1.45,2.45,98.79897308,0.0,22.80043685,13.15381432,13.16897392,13.15592957,0.58028674,1.00272018,1.00751146,1.00688977,1.0350483
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3107,800018,6,14000,6000,42000,10752000,22.164,nan,0.01304965,0.00813468,0.01304965,0.0042975,83,83,0,0.96814436,1.01358283,1,eb45d9569c5f4894,0.7,0.95,1.4,2.4,98.18439484,0.0,22.76498396,13.073349,13.16904259,13.17350578,0.60589051,1.00347304,1.00888794,1.00798188,1.04350642
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3108,800019,7,16000,6000,48000,12288000,22.265,nan,0.01308972,0.00821056,0.01308972,0.00444062,72,72,0,0.98031777,1.01358283,1,ac0eac341daf9acc,0.65,0.9,1.35,2.35,101.42996216,0.0,22.77036845,13.11160374,13.16536331,13.14872837,0.59973156,1.00271667,1.00736848,1.00643537,1.02800131
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3109,800020,8,18000,6000,54000,13824000,22.197,nan,0.01308544,0.00813842,0.01308544,0.00441659,72,72,0,0.99737841,1.01358283,1,cdba8a3a6763a5b9,0.65,0.85,1.3,2.1,100.13523102,0.0,22.69959728,12.99490738,13.15854549,13.14840317,0.61341149,1.00246088,1.0072443,1.00613015,1.02621627
cold,0,1,0,0.0001,0.1,512,3,5,4,256,6000,8.0,2633729,3,3,9976,3110,800021,9,20000,6000,60000,15360000,22.086,nan,0.01304824,0.00809119,0.01304824,0.00435543,72,72,0,1.00469041,1.01358283,1,4deeab067610d38b,0.65,0.85,1.3,2.3,101.99625397,0.0,22.71749362,13.02589226,13.15984249,13.14841461,0.59024221,1.00270486,1.00732549,1.00656331,1.03248388
