arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
cold,0,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,2000,6000,6000,1536000,16.185,nan,0.03761305,0.03987413,0.03761305,0.00254683,97,97,0,1.03862822,0.99980885,1,26f522d43aa6a746,0.25,0.45,0.75,1.45,92.9981308,0.0,23.21362917,12.96390247,13.79537773,13.42951679,0.38137081,0.98672832,1.05597688,1.02801239,0.65879008
cold,0,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2102,700010,1,4000,6000,12000,3072000,14.082,nan,0.02201688,0.02043248,0.02201688,0.00304575,83,83,0,0.98250669,0.99980885,1,b2fafafd1c662c64,0.4,0.6,0.95,1.75,91.24906158,0.0,23.24780845,13.01541615,13.77342033,13.4617672,0.36504337,0.98577189,1.05446933,1.03013308,0.64812846
cold,0,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2103,700011,2,6000,6000,18000,4608000,14.048,nan,0.01478743,0.01077364,0.01478743,0.00264061,83,83,0,0.99673575,0.99980885,1,c9884d97e0c6b7f7,0.6,0.85,1.25,2.15,95.41894531,0.0,23.10800408,12.81375408,13.76863098,13.41924667,0.36902395,0.98649297,1.05385721,1.02752283,0.64693507
cold,0,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2104,700012,3,8000,6000,24000,6144000,14.063,nan,0.01372285,0.00854245,0.01372285,0.00282768,97,97,0,0.9588182,0.99980885,1,1a5218bce0628d09,0.65,0.9,1.3,2.3,96.17246246,0.0,23.15165139,12.83220196,13.80340576,13.44047356,0.39142698,0.98632606,1.05694222,1.02820206,0.65768855
cold,0,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2105,700013,4,10000,6000,30000,7680000,14.05,nan,0.0132873,0.0087575,0.0132873,0.0026201,97,97,0,0.96289557,0.99980885,1,9baed7d09f367bfb,0.75,0.95,1.4,2.4,93.17372894,0.0,23.21827284,12.92020416,13.83449078,13.43945312,0.3801088,0.98702426,1.0591979,1.02812453,0.65895732
cold,0,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2106,700014,5,12000,6000,36000,9216000,14.058,nan,0.01325979,0.00857291,0.01325979,0.0026063,83,83,0,0.9724099,0.99980885,1,64dc93271597c24b,0.65,0.85,1.25,2.15,97.08055115,0.0,23.18135897,12.92431927,13.7921133,13.41518497,0.38444483,0.98701482,1.05572284,1.02690459,0.6664702
cold,0,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2107,700015,6,14000,6000,42000,10752000,13.989,nan,0.01312395,0.00788936,0.01312395,0.00263984,97,97,0,1.00530779,0.99980885,1,e1ed9f4f3adf0fc1,0.7,0.95,1.35,2.25,93.26618195,0.0,23.1662875,12.88297939,13.79397583,13.42697716,0.38501137,0.98735097,1.0559068,1.0278522,0.6728996
cold,0,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2108,700016,7,16000,6000,48000,12288000,14.021,nan,0.01305362,0.00811331,0.01305362,0.00265251,97,97,0,1.01571798,0.99980885,1,9d9558d80bdff8b8,0.75,0.95,1.4,2.3,89.59101105,0.0,23.1469325,12.84792328,13.80762005,13.41328716,0.38040438,0.98737204,1.05719018,1.02659542,0.66599316
cold,0,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2109,700017,8,18000,6000,54000,13824000,14.006,nan,0.01296768,0.00818955,0.01296768,0.0028134,83,83,0,0.9973259,0.99980885,1,49636b64e3f0ad84,0.75,0.95,1.4,2.5,86.2375412,0.0,23.15546758,12.92142773,13.76268768,13.40369987,0.37635335,0.98622943,1.05376768,1.02540988,0.6453379
cold,0,1,0,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2110,700018,9,20000,6000,60000,15360000,14.013,nan,0.01300474,0.00804881,0.01300474,0.00260333,97,97,0,0.99183881,0.99980885,1,27201173ab27edd2,0.7,0.95,1.4,2.2,81.53302002,0.0,23.13484087,12.83510494,13.77141762,13.44199753,0.37643397,0.98613391,1.05425789,1.02876665,0.66545689
