arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,step,cum_step,cum_samples,cycle_wall_s,n_train,train_loss,val_mse_noisy,val_mse_clean,train_val_gap,valid_time_mtu,valid_time_lyap,weight_norm
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,1,1,256,6.216,2000,0.06825848,0.05160372,0.04663895,-0.01665476,0.05,0.08355,22.68276984
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,2,2,512,7.086,2000,0.05358687,0.03600411,0.03097481,-0.01758276,0.1,0.1671,22.68179923
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,3,3,768,7.139,2000,0.03602177,0.03190226,0.02675563,-0.00411951,0.1,0.1671,22.6824015
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,4,4,1024,7.191,2000,0.03258545,0.03133497,0.0260383,-0.00125049,0.1,0.1671,22.68476768
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,5,5,1280,7.242,2000,0.03188136,0.02452582,0.01909199,-0.00735555,0.1,0.1671,22.68839916
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,6,6,1536,7.293,2000,0.02518806,0.02211059,0.01656068,-0.00307747,0.1,0.1671,22.69339844
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,7,7,1792,7.343,2000,0.02176503,0.02531756,0.01967244,0.00355254,0.1,0.1671,22.69840117
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,8,8,2048,7.394,2000,0.02539366,0.02304366,0.01733239,-0.00235,0.1,0.1671,22.70128262
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,9,9,2304,7.445,2000,0.02340662,0.02021917,0.01446987,-0.00318745,0.1,0.1671,22.70291917
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,11,11,2816,7.499,2000,0.02082904,0.01950564,0.01374701,-0.0013234,0.15,0.25065,22.70634522
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,12,12,3072,7.55,2000,0.02026624,0.01812162,0.01237798,-0.00214461,0.15,0.25065,22.70825765
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,14,14,3584,7.639,2000,0.01849141,0.01740912,0.01167846,-0.00108229,0.15,0.25065,22.71123917
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,16,16,4096,7.694,2000,0.01744096,0.01641877,0.01066817,-0.00102219,0.15,0.25065,22.713886
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,19,19,4864,7.751,2000,0.01635675,0.01461547,0.0088349,-0.00174128,0.15,0.25065,22.72200306
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,22,22,5632,7.808,2000,0.01433227,0.01404019,0.00816043,-0.00029209,0.2,0.3342,22.73181997
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,26,26,6656,7.868,2000,0.0135101,0.01279343,0.00683519,-0.00071667,0.2,0.3342,22.74210226
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,30,30,7680,7.928,2000,0.01218977,0.01139334,0.00544997,-0.00079643,0.2,0.3342,22.75176351
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,2,2,9975,2101,700009,0,34,34,8704,7.989,2000,0.01094935,0.01041331,0.00437521,-0.00053603,0.25,0.41775,22.76366947
