arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,n_train,cycle_steps,cum_step,cum_samples,cycle_wall_s,final_train_loss,final_val_mse_noisy,final_val_mse_clean,final_train_val_gap,best_val_mse_clean,step_of_best,handoff_step,best_at_boundary,rollout_std,truth_std,stable,batch_order_hash,vt_mtu@0.2,vt_mtu@0.3,vt_mtu@0.5,vt_mtu@0.8,effective_rank,dormant_frac,weight_norm,wnorm::body.0.weight,wnorm::body.2.weight,wnorm::body.4.weight,wnorm::head.weight,wratio::body.0.weight,wratio::body.2.weight,wratio::body.4.weight,wratio::head.weight
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,2000,6000,6000,1536000,28.978,nan,0.00342549,0.00223808,0.00342549,0.00136833,83,83,0,0.99072075,1.00046194,1,57e8b5dd5ea69964,0.95,1.2,1.7,2.8,92.84885406,0.0,22.83498818,13.09546375,13.26957512,13.17459679,0.54211622,1.00102533,1.01561952,1.00852061,0.95407312
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1102,600007,1,4000,6000,12000,3072000,21.715,nan,0.00329407,0.00206982,0.00329407,0.00148217,130,130,0,0.99308681,1.00046194,1,c2107d5e0df6ce0e,0.95,1.2,1.75,2.75,89.35725403,0.0,22.85558214,13.05562878,13.31405354,13.2037344,0.57058609,1.00179997,1.01905681,1.01042417,0.97005253
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1103,600008,2,6000,6000,18000,4608000,21.779,nan,0.00334504,0.00206018,0.00334504,0.00143435,112,112,0,0.99379027,1.00046194,1,da55aa1331a98596,1.0,1.25,1.75,2.75,93.99700928,0.0,22.87510291,13.141922,13.2887907,13.1770792,0.57692695,1.00168961,1.01749024,1.00900867,0.9636422
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1104,600009,3,8000,6000,24000,6144000,21.8,nan,0.0032739,0.00200412,0.0032739,0.00120431,112,112,0,1.01731932,1.00046194,1,e7178fe9d6f34125,1.0,1.25,1.8,2.8,86.26773071,0.0,22.83254315,13.02898312,13.31607819,13.18897057,0.55112875,1.00189961,1.01904709,1.01012732,0.96386037
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1105,600010,4,10000,6000,30000,7680000,21.86,nan,0.00331272,0.00205096,0.00331272,0.00125317,112,112,0,1.00386751,1.00046194,1,160dee86ea52110f,1.0,1.2,1.65,2.55,92.68010712,0.0,22.93039965,13.21007919,13.30208015,13.19248009,0.55692756,1.00161279,1.01821224,1.009403,0.96598403
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1106,600011,5,12000,6000,36000,9216000,21.879,nan,0.00329449,0.00200651,0.00329449,0.0013583,83,83,0,1.00610304,1.00046194,1,1ce675273c34c478,1.05,1.3,1.85,2.7,92.58421326,0.0,22.84236387,13.0980072,13.27012253,13.18362427,0.55829543,1.00095313,1.01544536,1.00814463,0.95681277
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1107,600012,6,14000,6000,42000,10752000,21.759,nan,0.00325314,0.00200821,0.00325314,0.00140425,112,112,0,0.98089886,1.00046194,1,62d1b856863e9622,1.05,1.3,1.85,2.75,91.0198288,0.0,22.84232266,13.07240391,13.28521347,13.1937151,0.55941546,1.00177437,1.01749087,1.00955952,0.9613426
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1108,600013,7,16000,6000,48000,12288000,21.866,nan,0.00332668,0.00204055,0.00332668,0.00127014,83,83,0,1.01110208,1.00046194,1,a2361a26c96092fc,0.9,1.1,1.5,2.35,91.09060669,0.0,22.85417277,13.13340855,13.26506519,13.17488384,0.53597963,1.00064538,1.01491697,1.00820482,0.94834498
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1109,600014,8,18000,6000,54000,13824000,21.853,nan,0.00327391,0.00202518,0.00327391,0.00139451,83,83,0,1.00800467,1.00046194,1,a58c8126dcba80c5,1.05,1.25,1.75,2.55,93.17719269,0.0,22.81955472,13.07702923,13.25987911,13.17486382,0.56740957,1.00080657,1.01464908,1.00783405,0.95552428
cold,0,1,0,0.0003,0.05,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1110,600015,9,20000,6000,60000,15360000,21.779,nan,0.00328912,0.00201465,0.00328912,0.00142734,130,130,0,1.00286078,1.00046194,1,c28b57b20510f910,1.0,1.3,1.85,2.75,88.15914154,0.0,22.88826903,13.08597279,13.32967949,13.21528339,0.55326742,1.00232714,1.02014998,1.01103467,0.9719887
