arm,warm_start,data_all,frozen,lr,noise,hidden,n_layers,kernel,history,batch_size,step_budget,F,n_params,seed,data_seed,noise_seed,init_seed,shuffle_seed,cycle,step,cum_step,cum_samples,cycle_wall_s,n_train,train_loss,val_mse_noisy,val_mse_clean,train_val_gap,valid_time_mtu,valid_time_lyap,weight_norm
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,1,1,256,1.152,2000,0.08793236,0.507595,0.48846054,0.41966264,0.0,0.0,22.7024784
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,2,2,512,2.181,2000,0.50644416,0.61259991,0.5924682,0.10615575,0.0,0.0,22.70024688
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,3,3,768,2.223,2000,0.61347979,0.15628627,0.13614534,-0.45719352,0.05,0.08355,22.67536205
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,4,4,1024,2.267,2000,0.15842734,0.05994106,0.03989906,-0.09848629,0.1,0.1671,22.67192003
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,5,5,1280,2.308,2000,0.05776277,0.13925608,0.11920814,0.08149331,0.05,0.08355,22.6831102
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,6,6,1536,2.346,2000,0.13952866,0.08411876,0.06386035,-0.0554099,0.05,0.08355,22.69193164
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,7,7,1792,2.384,2000,0.08662886,0.0582018,0.03766342,-0.02842706,0.1,0.1671,22.70444452
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,8,8,2048,2.422,2000,0.05932565,0.13776094,0.11698779,0.07843528,0.05,0.08355,22.72202116
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,9,9,2304,2.459,2000,0.13580273,0.12400619,0.10312848,-0.01179654,0.05,0.08355,22.73709937
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,11,11,2816,2.498,2000,0.08737543,0.06098789,0.0400688,-0.02638754,0.05,0.08355,22.76910556
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,12,12,3072,2.536,2000,0.05841487,0.10245415,0.08144996,0.04403928,0.05,0.08355,22.78572316
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,14,14,3584,2.606,2000,0.08770014,0.03871407,0.017392,-0.04898608,0.1,0.1671,22.80634255
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,16,16,4096,2.646,2000,0.04423789,0.06959126,0.04802819,0.02535337,0.05,0.08355,22.82735171
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,19,19,4864,2.688,2000,0.06082888,0.03586201,0.01431945,-0.02496687,0.15,0.25065,22.86314696
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,22,22,5632,2.729,2000,0.041043,0.04929642,0.02788441,0.00825342,0.1,0.1671,22.89833301
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,26,26,6656,2.772,2000,0.03975721,0.03629548,0.01508874,-0.00346173,0.15,0.25065,22.93020927
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,30,30,7680,2.817,2000,0.03840919,0.03473063,0.01358469,-0.00367856,0.15,0.25065,22.9632198
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,34,34,8704,2.861,2000,0.03339842,0.03398328,0.0127813,0.00058486,0.15,0.25065,22.99545885
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,40,40,10240,2.909,2000,0.03165974,0.0307296,0.00956033,-0.00093015,0.2,0.3342,23.02609176
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,46,46,11776,2.958,2000,0.02994542,0.02857005,0.00755356,-0.00137538,0.25,0.41775,23.05621518
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,54,54,13824,3.01,2000,0.02795612,0.0271022,0.0064501,-0.00085392,0.25,0.41775,23.08232844
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,62,62,15872,3.093,2000,0.02593113,0.02513616,0.00497972,-0.00079497,0.3,0.5013,23.1093715
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,72,72,18432,3.149,2000,0.02402232,0.02317353,0.00382004,-0.00084879,0.35,0.58485,23.14105636
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,83,83,21248,3.208,2000,0.022107,0.02112871,0.00303994,-0.00097829,0.4,0.6684,23.17419073
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,97,97,24832,3.272,2000,0.01989433,0.01882351,0.00289273,-0.00107083,0.5,0.8355,23.21323767
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,112,112,28672,3.337,2000,0.01781484,0.01678994,0.0037832,-0.0010249,0.6,1.0026,23.25300247
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,130,130,33280,3.409,2000,0.01594651,0.01530766,0.00621024,-0.00063885,0.75,1.25325,23.3008973
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,150,150,38400,3.484,2000,0.01496243,0.01498905,0.00826241,2.661e-05,0.75,1.25325,23.33476943
frozen,1,1,1,0.001,0.1,512,3,5,4,256,6000,8.0,2633729,1,1,9974,1101,600006,0,174,174,44544,3.568,2000,0.01458021,0.01439501,0.00787551,-0.0001852,0.9,1.5039,23.34953191
