n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,512,0.0,0.001,1,2633729,131.6865,6000,256,3855,1,2.66e-06,2.66e-06,6.98e-06,6.98e-06,6.51e-06,6.51e-06,4.31e-06,nan,0.0,2.585e-05,1.85,3.09135,1,14.76
500,512,0.0,0.003,1,2633729,131.6865,6000,256,5177,1,1.153e-05,1.153e-05,5.231e-05,5.231e-05,4.888e-05,4.888e-05,4.078e-05,nan,0.0,8.028e-05,1.5,2.5065,1,12.82
1000,512,0.0,0.001,1,2633729,65.8432,6000,256,5177,1,1.51e-06,1.51e-06,2.98e-06,2.98e-06,2.76e-06,2.76e-06,1.48e-06,nan,0.0,1.78e-05,2.05,3.42555,1,12.23
1000,512,0.0,0.003,1,2633729,65.8432,6000,256,6000,1,2.165e-05,2.165e-05,3.372e-05,3.372e-05,3.233e-05,3.233e-05,1.207e-05,nan,0.0,3.372e-05,1.65,2.75715,1,12.22
2000,512,0.0,0.001,1,2633729,32.9216,6000,256,5177,1,2.69e-06,2.69e-06,3.49e-06,3.49e-06,3.32e-06,3.32e-06,7.9e-07,nan,0.0,4.18e-06,2.0,3.342,1,12.16
2000,512,0.0,0.003,1,2633729,32.9216,6000,256,6000,1,1.978e-05,1.978e-05,2.589e-05,2.589e-05,2.507e-05,2.507e-05,6.11e-06,nan,0.0,2.589e-05,1.8,3.0078,1,12.21
5000,512,0.0,0.001,1,2633729,13.1686,6000,256,6000,1,4.34e-06,4.34e-06,4.7e-06,4.7e-06,4.53e-06,4.53e-06,3.5e-07,nan,0.0,4.7e-06,1.95,3.25845,1,12.23
5000,512,0.0,0.003,1,2633729,13.1686,6000,256,5177,1,2.164e-05,2.164e-05,2.468e-05,2.468e-05,2.395e-05,2.395e-05,3.04e-06,nan,0.0,5.257e-05,1.55,2.59005,1,12.26
10000,512,0.0,0.001,1,2633729,6.5843,6000,256,5177,1,2.41e-06,2.41e-06,2.6e-06,2.6e-06,2.44e-06,2.44e-06,1.9e-07,nan,0.0,1.517e-05,2.1,3.5091,1,12.22
10000,512,0.0,0.003,1,2633729,6.5843,6000,256,6000,1,1.297e-05,1.297e-05,1.431e-05,1.431e-05,1.378e-05,1.378e-05,1.34e-06,nan,0.0,1.431e-05,1.75,2.92425,1,12.24
20000,512,0.0,0.001,1,2633729,3.2922,6000,256,4468,1,2.22e-06,2.22e-06,2.28e-06,2.28e-06,2.18e-06,2.18e-06,5e-08,nan,0.0,2.353e-05,2.05,3.42555,1,12.21
20000,512,0.0,0.003,1,2633729,3.2922,6000,256,6000,1,1.08e-05,1.08e-05,1.174e-05,1.174e-05,1.113e-05,1.113e-05,9.4e-07,nan,0.0,1.174e-05,1.8,3.0078,1,12.22
