n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,64,0.1,0.001,0,42497,2.1248,6000,256,72,0,0.02036968,0.00323907,0.02082593,0.00344941,0.02090378,0.00358016,0.00021034,1.01848384,0.02,0.01909879,0.4,0.6684,1,10.09
500,64,0.1,0.003,0,42497,2.1248,6000,256,40,0,0.02051463,0.00349478,0.02092811,0.00369199,0.02102094,0.00383639,0.00019721,1.0257313,0.02,0.06832191,0.4,0.6684,1,8.49
1000,64,0.1,0.001,0,42497,1.0624,6000,256,72,0,0.02088889,0.00319778,0.0211038,0.00336079,0.02116986,0.00348483,0.00016301,1.04444427,0.02,0.01051183,0.4,0.6684,1,8.16
1000,64,0.1,0.003,0,42497,1.0624,6000,256,40,0,0.02102577,0.0035348,0.02118523,0.00365911,0.02127976,0.00381251,0.00012431,1.05128828,0.02,0.03960006,0.4,0.6684,1,8.18
2000,64,0.1,0.001,0,42497,0.5312,6000,256,72,0,0.02117419,0.00323525,0.02138606,0.0033885,0.02145736,0.00351954,0.00015325,1.05870934,0.02,0.00881681,0.4,0.6684,1,8.0
2000,64,0.1,0.003,0,42497,0.5312,6000,256,46,0,0.01957243,0.00372558,0.01972689,0.00385273,0.01978157,0.00395401,0.00012715,0.97862147,0.02,0.01510846,0.45,0.75195,1,8.0
5000,64,0.1,0.001,0,42497,0.2125,6000,256,72,0,0.02151403,0.00346916,0.02160337,0.00343143,0.02168034,0.0035632,-3.773e-05,1.07570169,0.02,0.00824252,0.4,0.6684,1,7.97
5000,64,0.1,0.003,0,42497,0.2125,6000,256,40,0,0.02150445,0.00369853,0.02159764,0.00366263,0.02167656,0.00380005,-3.591e-05,1.07522262,0.02,0.00857156,0.35,0.58485,1,8.0
10000,64,0.1,0.001,0,42497,0.1062,6000,256,72,0,0.02133342,0.00323739,0.02144727,0.00325603,0.02149616,0.00336508,1.864e-05,1.06667085,0.02,0.00812621,0.4,0.6684,1,7.98
10000,64,0.1,0.003,0,42497,0.1062,6000,256,46,0,0.01975756,0.00353359,0.01983264,0.0035468,0.0198649,0.00362708,1.321e-05,0.98787779,0.02,0.00807807,0.45,0.75195,1,7.97
20000,64,0.1,0.001,0,42497,0.0531,6000,256,72,0,0.02138549,0.00329207,0.02132075,0.00325375,0.0213952,0.00338425,-3.832e-05,1.06927427,0.02,0.00796375,0.4,0.6684,1,7.96
20000,64,0.1,0.003,0,42497,0.0531,6000,256,40,0,0.02136929,0.00360456,0.02130686,0.00356751,0.02139868,0.00372167,-3.705e-05,1.06846429,0.02,0.00797061,0.4,0.6684,1,7.97
