n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,64,0.1,0.001,1,42497,2.1248,6000,256,72,0,0.0212845,0.00360773,0.0218492,0.00422875,0.02173061,0.00411366,0.00062103,1.06422482,0.02,0.02167263,0.35,0.58485,1,10.08
500,64,0.1,0.003,1,42497,2.1248,6000,256,40,0,0.02121754,0.00351202,0.02177809,0.00412693,0.0216646,0.004015,0.00061491,1.060877,0.02,0.07158577,0.35,0.58485,1,8.54
1000,64,0.1,0.001,1,42497,1.0624,6000,256,72,0,0.02135244,0.00375045,0.02168532,0.00412554,0.02159653,0.00403875,0.0003751,1.06762191,0.02,0.01033946,0.35,0.58485,1,8.2
1000,64,0.1,0.003,1,42497,1.0624,6000,256,46,0,0.01916478,0.00392281,0.01934789,0.00419105,0.01933486,0.00414892,0.00026824,0.95823882,0.02,0.0407126,0.5,0.8355,1,8.19
2000,64,0.1,0.001,1,42497,0.5312,6000,256,72,0,0.02150475,0.00373228,0.02169861,0.00392895,0.02161569,0.00384991,0.00019667,1.07523771,0.02,0.00865715,0.4,0.6684,1,8.05
2000,64,0.1,0.003,1,42497,0.5312,6000,256,46,0,0.01937626,0.00372194,0.01947005,0.00384466,0.01945765,0.00381898,0.00012272,0.96881315,0.02,0.01531202,0.5,0.8355,1,8.03
5000,64,0.1,0.001,1,42497,0.2125,6000,256,72,0,0.0215382,0.0037721,0.02166633,0.00391367,0.02158777,0.00384384,0.00014157,1.07691009,0.02,0.00820009,0.35,0.58485,1,8.35
5000,64,0.1,0.003,1,42497,0.2125,6000,256,46,0,0.0194842,0.00362582,0.01954418,0.00371985,0.01953225,0.00369402,9.403e-05,0.97421017,0.02,0.00887806,0.45,0.75195,1,8.58
10000,64,0.1,0.001,1,42497,0.1062,6000,256,72,0,0.02176251,0.00379168,0.02172753,0.00385504,0.02164844,0.00377889,6.336e-05,1.08812572,0.02,0.0081513,0.35,0.58485,1,8.15
10000,64,0.1,0.003,1,42497,0.1062,6000,256,40,0,0.02180391,0.00380477,0.02180898,0.00388057,0.02174313,0.00382218,7.581e-05,1.0901954,0.02,0.00787195,0.35,0.58485,1,8.38
20000,64,0.1,0.001,1,42497,0.0531,6000,256,83,0,0.0192558,0.00383207,0.01925438,0.00383979,0.01921849,0.00378056,7.72e-06,0.96279019,0.02,0.00808723,0.45,0.75195,1,8.44
20000,64,0.1,0.003,1,42497,0.0531,6000,256,46,0,0.01945209,0.00380225,0.01940861,0.00380204,0.01940276,0.0037726,-2.1e-07,0.97260438,0.02,0.00803143,0.5,0.8355,1,8.44
