n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,64,0.0,0.001,2,42497,2.1248,6000,256,6000,1,2.4e-06,2.4e-06,3.89e-06,3.89e-06,4.56e-06,4.56e-06,1.49e-06,nan,0.0,3.89e-06,1.75,2.92425,1,10.23
500,64,0.0,0.003,2,42497,2.1248,6000,256,3855,1,2.55e-06,2.55e-06,4.37e-06,4.37e-06,5.38e-06,5.38e-06,1.82e-06,nan,0.0,6.88e-06,1.8,3.0078,1,8.63
1000,64,0.0,0.001,2,42497,1.0624,6000,256,6000,1,3.23e-06,3.23e-06,3.95e-06,3.95e-06,4.72e-06,4.72e-06,7.2e-07,nan,0.0,3.95e-06,1.8,3.0078,1,8.27
1000,64,0.0,0.003,2,42497,1.0624,6000,256,3327,1,3.42e-06,3.42e-06,4.31e-06,4.31e-06,5.35e-06,5.35e-06,9e-07,nan,0.0,7.52e-06,1.75,2.92425,1,8.24
2000,64,0.0,0.001,2,42497,0.5312,6000,256,6000,1,2.68e-06,2.68e-06,3.07e-06,3.07e-06,3.64e-06,3.64e-06,3.9e-07,nan,0.0,3.07e-06,1.9,3.1749,1,8.2
2000,64,0.0,0.003,2,42497,0.5312,6000,256,4468,1,3.8e-06,3.8e-06,4.14e-06,4.14e-06,4.83e-06,4.83e-06,3.3e-07,nan,0.0,7.81e-06,1.7,2.8407,1,8.11
5000,64,0.0,0.001,2,42497,0.2125,6000,256,6000,1,5.03e-06,5.03e-06,5.05e-06,5.05e-06,5.6e-06,5.6e-06,2e-08,nan,0.0,5.05e-06,1.85,3.09135,1,8.18
5000,64,0.0,0.003,2,42497,0.2125,6000,256,6000,1,7.68e-06,7.68e-06,7.59e-06,7.59e-06,8.04e-06,8.04e-06,-9e-08,nan,0.0,7.59e-06,1.55,2.59005,1,8.14
10000,64,0.0,0.001,2,42497,0.1062,6000,256,4468,1,4.58e-06,4.58e-06,4.18e-06,4.18e-06,4.88e-06,4.88e-06,-4e-07,nan,0.0,1.039e-05,1.8,3.0078,1,8.05
10000,64,0.0,0.003,2,42497,0.1062,6000,256,6000,1,2.15e-06,2.15e-06,2e-06,2e-06,2.34e-06,2.34e-06,-1.6e-07,nan,0.0,2e-06,2.0,3.342,1,8.03
20000,64,0.0,0.001,2,42497,0.0531,6000,256,5177,1,5.36e-06,5.36e-06,4.9e-06,4.9e-06,5.49e-06,5.49e-06,-4.7e-07,nan,0.0,6.35e-06,1.7,2.8407,1,8.08
20000,64,0.0,0.003,2,42497,0.0531,6000,256,6000,1,1.89e-06,1.89e-06,1.64e-06,1.64e-06,1.95e-06,1.95e-06,-2.5e-07,nan,0.0,1.64e-06,2.0,3.342,1,8.08
