n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,64,0.1,0.001,2,42497,2.1248,6000,256,83,0,0.01922372,0.00327374,0.0192283,0.00312929,0.01943822,0.00335918,-0.00014446,0.96118618,0.02,0.01928017,0.5,0.8355,1,10.24
500,64,0.1,0.003,2,42497,2.1248,6000,256,54,0,0.0180923,0.00319528,0.01820897,0.00314095,0.0183665,0.00334187,-5.433e-05,0.90461485,0.02,0.06698506,0.55,0.91905,1,8.4
1000,64,0.1,0.001,2,42497,1.0624,6000,256,83,0,0.01962955,0.00331418,0.01963134,0.00317974,0.0198696,0.00343677,-0.00013445,0.98147774,0.02,0.01042148,0.45,0.75195,1,8.78
1000,64,0.1,0.003,2,42497,1.0624,6000,256,46,0,0.01999488,0.00311205,0.02006494,0.00303933,0.02027255,0.00326865,-7.271e-05,0.99974424,0.02,0.03581336,0.45,0.75195,1,8.8
2000,64,0.1,0.001,2,42497,0.5312,6000,256,83,0,0.01954099,0.0033066,0.01961194,0.00319123,0.01985718,0.00345591,-0.00011537,0.97704967,0.02,0.00851389,0.5,0.8355,1,8.62
2000,64,0.1,0.003,2,42497,0.5312,6000,256,46,0,0.02023236,0.00308276,0.02033016,0.00299287,0.02052191,0.00320792,-8.989e-05,1.01161795,0.02,0.01500385,0.45,0.75195,1,8.59
5000,64,0.1,0.001,2,42497,0.2125,6000,256,72,0,0.0213229,0.00338848,0.02128085,0.0032484,0.02155925,0.00353527,-0.00014007,1.06614511,0.02,0.00803149,0.4,0.6684,1,8.55
5000,64,0.1,0.003,2,42497,0.2125,6000,256,54,0,0.01909553,0.00297358,0.01907922,0.00284499,0.01925486,0.00305965,-0.00012859,0.95477626,0.02,0.0082414,0.55,0.91905,1,8.55
10000,64,0.1,0.001,2,42497,0.1062,6000,256,83,0,0.01979777,0.00334089,0.01965799,0.00314139,0.01990005,0.00341002,-0.0001995,0.9898887,0.02,0.00789083,0.5,0.8355,1,8.66
10000,64,0.1,0.003,2,42497,0.1062,6000,256,46,0,0.02066972,0.0031184,0.02053157,0.00294505,0.02070397,0.00314411,-0.00017335,1.03348596,0.02,0.00818261,0.45,0.75195,1,9.11
20000,64,0.1,0.001,2,42497,0.0531,6000,256,83,0,0.01966606,0.00327698,0.01955104,0.00308534,0.01977331,0.00333063,-0.00019164,0.98330323,0.02,0.00793894,0.5,0.8355,1,8.95
20000,64,0.1,0.003,2,42497,0.0531,6000,256,46,0,0.02012979,0.00325353,0.02003513,0.00308655,0.02021001,0.00329057,-0.00016698,1.00648934,0.02,0.00784568,0.5,0.8355,1,8.52
