n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,512,0.1,0.001,2,2633729,131.6865,6000,256,97,0,0.01915426,0.00271622,0.01923581,0.00263061,0.01935055,0.00281843,-8.561e-05,0.9577129,0.02,0.04853138,0.5,0.8355,1,22.56
500,512,0.1,0.003,2,2633729,131.6865,6000,256,271,0,0.01905735,0.00266554,0.01935145,0.00266813,0.01954391,0.00288816,2.59e-06,0.9528676,0.02,0.04037067,0.55,0.91905,1,21.53
1000,512,0.1,0.001,2,2633729,65.8432,6000,256,97,0,0.01950621,0.00265406,0.01957807,0.00258128,0.0197189,0.00278809,-7.278e-05,0.97531071,0.02,0.04722098,0.5,0.8355,1,21.47
1000,512,0.1,0.003,2,2633729,65.8432,6000,256,271,0,0.01908437,0.00281419,0.01920849,0.00271787,0.01945845,0.00298722,-9.632e-05,0.9542183,0.02,0.03749549,0.55,0.91905,1,21.46
2000,512,0.1,0.001,2,2633729,32.9216,6000,256,97,0,0.01922397,0.00264335,0.01931148,0.0025469,0.0194343,0.00274294,-9.645e-05,0.96119838,0.02,0.03895799,0.5,0.8355,1,21.8
2000,512,0.1,0.003,2,2633729,32.9216,6000,256,234,0,0.02039862,0.00261096,0.02057521,0.00255484,0.02082064,0.00283048,-5.612e-05,1.01993112,0.02,0.02089431,0.55,0.91905,1,21.91
5000,512,0.1,0.001,2,2633729,13.1686,6000,256,97,0,0.01929627,0.00274916,0.01927156,0.00260078,0.01938909,0.0027996,-0.00014838,0.96481368,0.02,0.01362996,0.5,0.8355,1,22.6
5000,512,0.1,0.003,2,2633729,13.1686,6000,256,234,0,0.02039463,0.0029384,0.0203705,0.0027849,0.02063875,0.00305499,-0.0001535,1.01973154,0.02,0.00929038,0.5,0.8355,1,22.63
10000,512,0.1,0.001,2,2633729,6.5843,6000,256,97,0,0.01919131,0.00265441,0.01910848,0.00251629,0.01919655,0.00268551,-0.00013812,0.9595653,0.02,0.0083463,0.5,0.8355,1,22.56
10000,512,0.1,0.003,2,2633729,6.5843,6000,256,234,0,0.02044115,0.0027254,0.02032185,0.00254131,0.02054731,0.00277297,-0.00018409,1.02205733,0.02,0.00840209,0.5,0.8355,1,22.62
20000,512,0.1,0.001,2,2633729,3.2922,6000,256,97,0,0.01954882,0.00287956,0.0194681,0.00271177,0.01959251,0.00291291,-0.00016779,0.9774412,0.02,0.0084162,0.5,0.8355,1,22.53
20000,512,0.1,0.003,2,2633729,3.2922,6000,256,271,0,0.01952779,0.00286805,0.01937566,0.00265958,0.01956365,0.00286975,-0.00020847,0.97638974,0.02,0.00799252,0.5,0.8355,1,22.56
