n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,128,0.1,0.001,0,166913,8.3456,6000,256,46,0,0.02145986,0.00380214,0.02175992,0.00389369,0.02189617,0.0040935,9.155e-05,1.07299304,0.02,0.0589265,0.35,0.58485,1,15.45
500,128,0.1,0.003,0,166913,8.3456,6000,256,46,0,0.0217001,0.00317478,0.02198209,0.00324342,0.02211152,0.00342315,6.864e-05,1.08500477,0.02,0.05217211,0.35,0.58485,1,8.29
1000,128,0.1,0.001,0,166913,4.1728,6000,256,46,0,0.02145955,0.00364237,0.02165102,0.00379741,0.02176017,0.00397769,0.00015504,1.07297739,0.02,0.03116304,0.35,0.58485,1,8.03
1000,128,0.1,0.003,0,166913,4.1728,6000,256,46,0,0.02127278,0.00299697,0.02144892,0.00315658,0.02156054,0.00332794,0.00015961,1.06363893,0.02,0.05403021,0.4,0.6684,1,7.96
2000,128,0.1,0.001,0,166913,2.0864,6000,256,46,0,0.02208995,0.00379157,0.02229706,0.00393443,0.02240789,0.00412372,0.00014286,1.10449754,0.02,0.01134644,0.35,0.58485,1,7.88
2000,128,0.1,0.003,0,166913,2.0864,6000,256,46,0,0.02137454,0.0031202,0.02153983,0.003244,0.02165736,0.00342041,0.0001238,1.06872711,0.02,0.03978987,0.4,0.6684,1,7.85
5000,128,0.1,0.001,0,166913,0.8346,6000,256,46,0,0.02222012,0.00384369,0.02227388,0.00375643,0.02236528,0.0039209,-8.726e-05,1.11100581,0.02,0.00859501,0.35,0.58485,1,7.85
5000,128,0.1,0.003,0,166913,0.8346,6000,256,46,0,0.0214086,0.00306261,0.02147856,0.0030106,0.02156655,0.00316371,-5.2e-05,1.07042994,0.02,0.01292602,0.4,0.6684,1,7.85
10000,128,0.1,0.001,0,166913,0.4173,6000,256,46,0,0.02178275,0.00363898,0.02189627,0.0036453,0.02199846,0.0038207,6.31e-06,1.0891377,0.02,0.00806721,0.35,0.58485,1,7.77
10000,128,0.1,0.003,0,166913,0.4173,6000,256,46,0,0.02162245,0.00300489,0.02171744,0.00300769,0.02180181,0.0031537,2.8e-06,1.08112264,0.02,0.00889872,0.4,0.6684,1,7.75
20000,128,0.1,0.001,0,166913,0.2086,6000,256,54,0,0.01990027,0.00370038,0.01982714,0.0036578,0.01986453,0.00377497,-4.259e-05,0.99501349,0.02,0.00821723,0.45,0.75195,1,7.77
20000,128,0.1,0.003,0,166913,0.2086,6000,256,46,0,0.02137602,0.00302352,0.02129049,0.00298095,0.02138671,0.00314052,-4.257e-05,1.06880097,0.02,0.00832135,0.4,0.6684,1,7.76
