n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
20000,128,0.0,0.003,0,166913,0.2086,6000,256,5177,1,4.4e-06,4.4e-06,4.43e-06,4.43e-06,4.66e-06,4.66e-06,3e-08,nan,0.0,6.74e-06,1.6,2.6736,1,7.04
500,512,0.0,0.001,0,2633729,131.6865,6000,256,4468,1,1.86e-06,1.86e-06,5.21e-06,5.21e-06,5.97e-06,5.97e-06,3.35e-06,nan,0.0,8.02e-06,1.95,3.25845,1,30.65
500,512,0.0,0.003,0,2633729,131.6865,6000,256,5177,1,1.682e-05,1.682e-05,4.784e-05,4.784e-05,5.507e-05,5.507e-05,3.102e-05,nan,0.0,5.761e-05,1.45,2.42295,1,21.79
1000,512,0.0,0.001,0,2633729,65.8432,6000,256,6000,1,2.52e-06,2.52e-06,4.18e-06,4.18e-06,4.82e-06,4.82e-06,1.66e-06,nan,0.0,4.18e-06,2.0,3.342,1,21.7
1000,512,0.0,0.003,0,2633729,65.8432,6000,256,3855,1,2.345e-05,2.345e-05,4.754e-05,4.754e-05,5.406e-05,5.406e-05,2.409e-05,nan,0.0,0.00029054,1.5,2.5065,1,21.79
2000,512,0.0,0.001,0,2633729,32.9216,6000,256,6000,1,1.64e-06,1.64e-06,2.7e-06,2.7e-06,3.15e-06,3.15e-06,1.05e-06,nan,0.0,2.7e-06,2.15,3.59265,1,22.06
2000,512,0.0,0.003,0,2633729,32.9216,6000,256,6000,1,1.363e-05,1.363e-05,2.145e-05,2.145e-05,2.431e-05,2.431e-05,7.81e-06,nan,0.0,2.145e-05,1.7,2.8407,1,22.07
5000,512,0.0,0.001,0,2633729,13.1686,6000,256,3855,1,3.19e-06,3.19e-06,3.4e-06,3.4e-06,3.68e-06,3.68e-06,2.1e-07,nan,0.0,2.77e-05,1.95,3.25845,1,22.73
5000,512,0.0,0.003,0,2633729,13.1686,6000,256,6000,1,1.421e-05,1.421e-05,1.59e-05,1.59e-05,1.748e-05,1.748e-05,1.68e-06,nan,0.0,1.59e-05,1.75,2.92425,1,22.69
10000,512,0.0,0.001,0,2633729,6.5843,6000,256,4468,1,3.11e-06,3.11e-06,3.34e-06,3.34e-06,3.6e-06,3.6e-06,2.2e-07,nan,0.0,6.97e-06,2.1,3.5091,1,22.74
