n_train,hidden,noise,lr,seed,step,train_mse_clean,val_mse_clean,test_mse_clean
500,64,0.1,0.001,2,0,0.06245258,0.061845,0.06473102
500,64,0.1,0.001,2,1,0.05012344,0.04952341,0.0523399
500,64,0.1,0.001,2,2,0.04129064,0.04069474,0.04337311
500,64,0.1,0.001,2,3,0.03608176,0.0355007,0.03796829
500,64,0.1,0.001,2,4,0.03450042,0.03394612,0.03614436
500,64,0.1,0.001,2,5,0.03426257,0.03372554,0.03571817
500,64,0.1,0.001,2,6,0.03280661,0.03225483,0.03418747
500,64,0.1,0.001,2,7,0.03015747,0.02957049,0.03153413
500,64,0.1,0.001,2,8,0.0276381,0.02700672,0.02901501
500,64,0.1,0.001,2,9,0.02594288,0.0252831,0.02730382
500,64,0.1,0.001,2,11,0.02408499,0.02345233,0.0253749
500,64,0.1,0.001,2,12,0.02289879,0.02231216,0.02415307
500,64,0.1,0.001,2,14,0.01949824,0.01901263,0.0206856
500,64,0.1,0.001,2,16,0.01727929,0.01685425,0.01837752
500,64,0.1,0.001,2,19,0.01602332,0.01555777,0.01699762
500,64,0.1,0.001,2,22,0.01450282,0.01403767,0.01536606
500,64,0.1,0.001,2,26,0.01244423,0.01207214,0.01322385
500,64,0.1,0.001,2,30,0.01118006,0.01087134,0.01176554
500,64,0.1,0.001,2,34,0.01021911,0.00987501,0.01066474
500,64,0.1,0.001,2,40,0.0090007,0.00871871,0.00938498
500,64,0.1,0.001,2,46,0.00764444,0.00735905,0.00797643
500,64,0.1,0.001,2,54,0.00580724,0.00559959,0.00609929
500,64,0.1,0.001,2,62,0.00438036,0.00420734,0.00461432
500,64,0.1,0.001,2,72,0.00341285,0.00327301,0.00355051
500,64,0.1,0.001,2,83,0.00327374,0.00312929,0.00335918
500,64,0.1,0.001,2,97,0.00413873,0.00408008,0.00428936
500,64,0.1,0.001,2,112,0.00671511,0.00672996,0.00695511
500,64,0.1,0.001,2,130,0.0075704,0.00762537,0.00784936
500,64,0.1,0.001,2,150,0.00766375,0.00771962,0.00790589
500,64,0.1,0.001,2,174,0.00795356,0.00806738,0.00826407
500,64,0.1,0.001,2,202,0.00789715,0.00807088,0.00821627
500,64,0.1,0.001,2,234,0.00776938,0.00795361,0.00810853
500,64,0.1,0.001,2,271,0.00778253,0.00799848,0.00813427
500,64,0.1,0.001,2,314,0.0079025,0.0081556,0.00828536
500,64,0.1,0.001,2,364,0.00811594,0.00838852,0.00849576
500,64,0.1,0.001,2,422,0.0080289,0.00835242,0.00844127
500,64,0.1,0.001,2,489,0.00809171,0.00845141,0.00856151
500,64,0.1,0.001,2,567,0.00802877,0.00836997,0.00848069
500,64,0.1,0.001,2,657,0.0084075,0.00883677,0.00889839
500,64,0.1,0.001,2,761,0.0083205,0.0087753,0.0088695
500,64,0.1,0.001,2,882,0.00845067,0.00895489,0.00903081
500,64,0.1,0.001,2,1023,0.00843422,0.00900612,0.00907944
500,64,0.1,0.001,2,1185,0.00850656,0.0091209,0.00921504
500,64,0.1,0.001,2,1373,0.00854523,0.00925208,0.00933046
500,64,0.1,0.001,2,1592,0.00861964,0.00944753,0.00956611
500,64,0.1,0.001,2,1844,0.0088473,0.0097916,0.00992878
500,64,0.1,0.001,2,2137,0.00889255,0.00999316,0.01009502
500,64,0.1,0.001,2,2477,0.00907581,0.01035027,0.01051298
500,64,0.1,0.001,2,2871,0.00922363,0.01078949,0.01099557
500,64,0.1,0.001,2,3327,0.00939207,0.01136579,0.01163194
500,64,0.1,0.001,2,3855,0.00974387,0.01227865,0.01261323
500,64,0.1,0.001,2,4468,0.01013702,0.01366344,0.01405303
500,64,0.1,0.001,2,5177,0.01128432,0.01645461,0.0169977
500,64,0.1,0.001,2,6000,0.01168024,0.01928017,0.01992643
500,64,0.1,0.003,2,0,0.06245258,0.061845,0.06473102
500,64,0.1,0.003,2,1,0.03689298,0.03628345,0.03879089
500,64,0.1,0.003,2,2,0.03912227,0.03854184,0.0402773
500,64,0.1,0.003,2,3,0.02857811,0.02784533,0.02993877
500,64,0.1,0.003,2,4,0.02872313,0.02785869,0.02996524
500,64,0.1,0.003,2,5,0.02602482,0.02528727,0.02715186
500,64,0.1,0.003,2,6,0.01938595,0.0188856,0.02051341
500,64,0.1,0.003,2,7,0.01913771,0.01878593,0.02018683
500,64,0.1,0.003,2,8,0.01897616,0.01856749,0.0199122
500,64,0.1,0.003,2,9,0.01545631,0.01496517,0.01639798
500,64,0.1,0.003,2,11,0.01583456,0.01538219,0.01664616
500,64,0.1,0.003,2,12,0.01315991,0.01272633,0.01387068
500,64,0.1,0.003,2,14,0.01317316,0.01275947,0.01383774
500,64,0.1,0.003,2,16,0.0109074,0.01058882,0.01133237
500,64,0.1,0.003,2,19,0.00991526,0.00951419,0.01023039
500,64,0.1,0.003,2,22,0.00867976,0.00830531,0.00900932
500,64,0.1,0.003,2,26,0.00729945,0.00702658,0.00759761
500,64,0.1,0.003,2,30,0.00589413,0.00568213,0.00615169
500,64,0.1,0.003,2,34,0.00453245,0.00437253,0.00476157
500,64,0.1,0.003,2,40,0.00363568,0.00350663,0.00373526
500,64,0.1,0.003,2,46,0.00329732,0.00322531,0.00345901
500,64,0.1,0.003,2,54,0.00319528,0.00314095,0.00334187
500,64,0.1,0.003,2,62,0.00452585,0.00450915,0.00469852
500,64,0.1,0.003,2,72,0.00778605,0.00782433,0.00801674
500,64,0.1,0.003,2,83,0.0072791,0.00720659,0.007403
500,64,0.1,0.003,2,97,0.00736654,0.00744344,0.00760307
500,64,0.1,0.003,2,112,0.00787682,0.00796959,0.00815193
500,64,0.1,0.003,2,130,0.00775234,0.00786468,0.00803705
500,64,0.1,0.003,2,150,0.00797338,0.00818191,0.00827286
500,64,0.1,0.003,2,174,0.00777629,0.00804791,0.00813811
500,64,0.1,0.003,2,202,0.00795895,0.00820766,0.00831131
500,64,0.1,0.003,2,234,0.00775531,0.00801129,0.00811797
500,64,0.1,0.003,2,271,0.00777809,0.00811505,0.00819662
500,64,0.1,0.003,2,314,0.00816356,0.00850231,0.00860785
500,64,0.1,0.003,2,364,0.00829538,0.00865741,0.00877114
500,64,0.1,0.003,2,422,0.00801666,0.00842966,0.00850542
500,64,0.1,0.003,2,489,0.00814976,0.00866712,0.00875458
500,64,0.1,0.003,2,567,0.00842232,0.00898502,0.00908381
500,64,0.1,0.003,2,657,0.00870204,0.00936268,0.0094387
500,64,0.1,0.003,2,761,0.00861955,0.00942297,0.00949556
500,64,0.1,0.003,2,882,0.0088512,0.00977155,0.00987157
500,64,0.1,0.003,2,1023,0.00883374,0.00992934,0.01000931
500,64,0.1,0.003,2,1185,0.00933506,0.01079316,0.01091787
500,64,0.1,0.003,2,1373,0.00928368,0.01115533,0.0113375
500,64,0.1,0.003,2,1592,0.01008623,0.01275927,0.01311494
500,64,0.1,0.003,2,1844,0.01064719,0.01463719,0.01524817
500,64,0.1,0.003,2,2137,0.01212792,0.01900534,0.01999368
500,64,0.1,0.003,2,2477,0.01365254,0.02536772,0.02684585
500,64,0.1,0.003,2,2871,0.01509662,0.03375982,0.03565994
500,64,0.1,0.003,2,3327,0.01706572,0.04399559,0.04668222
500,64,0.1,0.003,2,3855,0.01788201,0.0513706,0.05457753
500,64,0.1,0.003,2,4468,0.01834641,0.0577952,0.06132198
500,64,0.1,0.003,2,5177,0.01926505,0.06402394,0.06797023
500,64,0.1,0.003,2,6000,0.01939991,0.06698506,0.07104681
1000,64,0.1,0.001,2,0,0.06336652,0.061845,0.06473102
1000,64,0.1,0.001,2,1,0.05077201,0.04952241,0.05233962
1000,64,0.1,0.001,2,2,0.04167853,0.04068105,0.04337206
1000,64,0.1,0.001,2,3,0.03623538,0.03548395,0.03797882
1000,64,0.1,0.001,2,4,0.03461759,0.03409361,0.03634082
1000,64,0.1,0.001,2,5,0.0344702,0.03413932,0.03619545
1000,64,0.1,0.001,2,6,0.03282423,0.03261556,0.03461554
1000,64,0.1,0.001,2,7,0.0301777,0.03002433,0.03205449
1000,64,0.1,0.001,2,8,0.02769424,0.02752607,0.0296016
1000,64,0.1,0.001,2,9,0.02607757,0.02585333,0.02793242
1000,64,0.1,0.001,2,11,0.02427683,0.02392772,0.02589449
1000,64,0.1,0.001,2,12,0.02315841,0.02277661,0.02466463
1000,64,0.1,0.001,2,14,0.01984316,0.01947751,0.02121183
1000,64,0.1,0.001,2,16,0.01743985,0.01710125,0.01869814
1000,64,0.1,0.001,2,19,0.01611732,0.01570388,0.01716834
1000,64,0.1,0.001,2,22,0.01453765,0.01409087,0.01549289
1000,64,0.1,0.001,2,26,0.012523,0.0121551,0.01337834
1000,64,0.1,0.001,2,30,0.01129445,0.01095175,0.01191602
1000,64,0.1,0.001,2,34,0.01033195,0.00999556,0.01082309
1000,64,0.1,0.001,2,40,0.00902608,0.00874886,0.00950994
1000,64,0.1,0.001,2,46,0.0077477,0.00756823,0.00825192
1000,64,0.1,0.001,2,54,0.00599385,0.00582495,0.00636535
1000,64,0.1,0.001,2,62,0.00451756,0.00436694,0.00481493
1000,64,0.1,0.001,2,72,0.00357207,0.00342656,0.00373818
1000,64,0.1,0.001,2,83,0.00331418,0.00317974,0.00343677
1000,64,0.1,0.001,2,97,0.00407666,0.00396741,0.00416443
1000,64,0.1,0.001,2,112,0.0053919,0.00533878,0.00558106
