n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,512,0.1,0.001,0,2633729,131.6865,6000,256,97,0,0.01898064,0.00265559,0.01931699,0.00280787,0.01940485,0.0028986,0.00015229,0.94903195,0.02,0.05218645,0.5,0.8355,1,14.25
500,512,0.1,0.003,0,2633729,131.6865,6000,256,314,0,0.01945502,0.00259937,0.02026924,0.00293137,0.02043693,0.00314101,0.00033201,0.97275125,0.02,0.04220936,0.5,0.8355,1,12.77
1000,512,0.1,0.001,0,2633729,65.8432,6000,256,83,0,0.02043676,0.00280658,0.02060991,0.00298453,0.02072873,0.00310616,0.00017794,1.021838,0.02,0.04639781,0.45,0.75195,1,12.26
1000,512,0.1,0.003,0,2633729,65.8432,6000,256,314,0,0.0195886,0.00257114,0.02007667,0.00287175,0.02021347,0.00305972,0.0003006,0.97942995,0.02,0.03262059,0.5,0.8355,1,12.28
2000,512,0.1,0.001,0,2633729,32.9216,6000,256,97,0,0.01869763,0.00280207,0.01881844,0.00292051,0.01890466,0.00301822,0.00011844,0.93488153,0.02,0.0411009,0.55,0.91905,1,12.21
2000,512,0.1,0.003,0,2633729,32.9216,6000,256,314,0,0.01917933,0.00252057,0.01946999,0.00273404,0.01958416,0.00289951,0.00021347,0.95896665,0.02,0.01871733,0.55,0.91905,1,12.24
5000,512,0.1,0.001,0,2633729,13.1686,6000,256,83,0,0.0202971,0.00281823,0.02037615,0.00279954,0.02046054,0.00288291,-1.869e-05,1.01485495,0.02,0.01367746,0.45,0.75195,1,12.26
5000,512,0.1,0.003,0,2633729,13.1686,6000,256,314,0,0.0197912,0.00252448,0.01993159,0.0025035,0.02005503,0.00265601,-2.098e-05,0.98955994,0.02,0.00915934,0.55,0.91905,1,12.28
10000,512,0.1,0.001,0,2633729,6.5843,6000,256,83,0,0.02072538,0.00278494,0.02077774,0.00278292,0.02088365,0.00290025,-2.02e-06,1.03626875,0.02,0.00862284,0.45,0.75195,1,12.25
10000,512,0.1,0.003,0,2633729,6.5843,6000,256,314,0,0.01941437,0.00259524,0.01953434,0.00263233,0.01963793,0.00276431,3.709e-05,0.97071873,0.02,0.00835249,0.55,0.91905,1,12.27
20000,512,0.1,0.001,0,2633729,3.2922,6000,256,83,0,0.02054357,0.00294509,0.02045065,0.00290024,0.02053677,0.0029885,-4.485e-05,1.0271783,0.02,0.00829586,0.5,0.8355,1,12.23
20000,512,0.1,0.003,0,2633729,3.2922,6000,256,271,0,0.02081241,0.00274819,0.02075141,0.00267984,0.02088147,0.00286174,-6.835e-05,1.04062036,0.02,0.00821683,0.5,0.8355,1,12.22
