n_train,hidden,noise,lr,seed,step,train_mse_clean,val_mse_clean,test_mse_clean
500,512,0.0,0.001,2,0,0.06342727,0.06283319,0.06546505
500,512,0.0,0.001,2,1,0.57247728,0.56968212,0.56245273
500,512,0.0,0.001,2,2,0.54179013,0.53621113,0.5279991
500,512,0.0,0.001,2,3,0.13683242,0.13578323,0.13588075
500,512,0.0,0.001,2,4,0.05058362,0.04908724,0.05166335
500,512,0.0,0.001,2,5,0.15662567,0.15376978,0.1546496
500,512,0.0,0.001,2,6,0.07517435,0.07435167,0.07549874
500,512,0.0,0.001,2,7,0.03482131,0.03440434,0.03643706
500,512,0.0,0.001,2,8,0.11212213,0.11016227,0.11136106
500,512,0.0,0.001,2,9,0.11655205,0.11444679,0.11515278
500,512,0.0,0.001,2,11,0.02312302,0.02272953,0.02466198
500,512,0.0,0.001,2,12,0.05568506,0.05549677,0.05685143
500,512,0.0,0.001,2,14,0.04299464,0.04283388,0.04401122
500,512,0.0,0.001,2,16,0.01934229,0.01886163,0.02041854
500,512,0.0,0.001,2,19,0.0358276,0.03500696,0.03640148
500,512,0.0,0.001,2,22,0.01375838,0.01335901,0.01464502
500,512,0.0,0.001,2,26,0.01905787,0.01896496,0.01981224
500,512,0.0,0.001,2,30,0.01257557,0.0122117,0.01332148
500,512,0.0,0.001,2,34,0.01247127,0.01213349,0.01298707
500,512,0.0,0.001,2,40,0.00999861,0.0097847,0.01058292
500,512,0.0,0.001,2,46,0.00761446,0.00738195,0.00804497
500,512,0.0,0.001,2,54,0.00597153,0.00583467,0.00636716
500,512,0.0,0.001,2,62,0.00443667,0.00429748,0.00472281
500,512,0.0,0.001,2,72,0.0030716,0.00300338,0.0033142
500,512,0.0,0.001,2,83,0.00212009,0.00205454,0.00228839
500,512,0.0,0.001,2,97,0.00150805,0.0014498,0.00162937
500,512,0.0,0.001,2,112,0.0010878,0.00105329,0.00118862
500,512,0.0,0.001,2,130,0.00076507,0.00075521,0.00085111
500,512,0.0,0.001,2,150,0.00054712,0.00054929,0.00062155
500,512,0.0,0.001,2,174,0.00039098,0.00039957,0.00045476
500,512,0.0,0.001,2,202,0.00028304,0.00029428,0.00033693
500,512,0.0,0.001,2,234,0.00020928,0.00022395,0.00025814
500,512,0.0,0.001,2,271,0.00015857,0.00017458,0.00020236
500,512,0.0,0.001,2,314,0.00012089,0.00013754,0.00016001
500,512,0.0,0.001,2,364,0.00012245,0.00014056,0.00015842
500,512,0.0,0.001,2,422,8.409e-05,0.00010012,0.00011432
500,512,0.0,0.001,2,489,6.786e-05,8.258e-05,9.408e-05
500,512,0.0,0.001,2,567,0.00019067,0.00019776,0.00021126
500,512,0.0,0.001,2,657,3.439e-05,4.505e-05,5.294e-05
500,512,0.0,0.001,2,761,2.961e-05,3.974e-05,4.594e-05
500,512,0.0,0.001,2,882,1.995e-05,2.814e-05,3.328e-05
500,512,0.0,0.001,2,1023,1.491e-05,2.213e-05,2.611e-05
500,512,0.0,0.001,2,1185,1.815e-05,2.422e-05,2.762e-05
500,512,0.0,0.001,2,1373,6.319e-05,6.957e-05,7.244e-05
500,512,0.0,0.001,2,1592,0.0001188,0.00012268,0.00012577
500,512,0.0,0.001,2,1844,1.096e-05,1.505e-05,1.708e-05
500,512,0.0,0.001,2,2137,8.998e-05,9.385e-05,9.701e-05
500,512,0.0,0.001,2,2477,4.45e-06,7.54e-06,8.92e-06
500,512,0.0,0.001,2,2871,4.54e-06,7.28e-06,8.43e-06
500,512,0.0,0.001,2,3327,2.49e-06,4.87e-06,5.87e-06
500,512,0.0,0.001,2,3855,8.23e-06,1.025e-05,1.131e-05
500,512,0.0,0.001,2,4468,3.15e-06,5.64e-06,7.03e-06
500,512,0.0,0.001,2,5177,3.08e-06,4.8e-06,5.61e-06
500,512,0.0,0.001,2,6000,1.83e-06,3.94e-06,4.91e-06
500,512,0.0,0.003,2,0,0.06342727,0.06283319,0.06546505
500,512,0.0,0.003,2,1,8.0671978,8.045187,7.91623974
500,512,0.0,0.003,2,2,70.98314667,70.37534332,69.09866333
500,512,0.0,0.003,2,3,4.31421375,4.34156799,4.27466536
500,512,0.0,0.003,2,4,0.10870936,0.10564312,0.11156494
500,512,0.0,0.003,2,5,0.49588066,0.4945702,0.49908066
500,512,0.0,0.003,2,6,0.19757302,0.19186889,0.19409679
500,512,0.0,0.003,2,7,0.2826497,0.27024302,0.2702857
500,512,0.0,0.003,2,8,0.49730301,0.49368808,0.49012572
500,512,0.0,0.003,2,9,0.43233901,0.43446103,0.430114
500,512,0.0,0.003,2,11,0.11852217,0.11858597,0.11937053
500,512,0.0,0.003,2,12,0.05898285,0.05819231,0.06108083
500,512,0.0,0.003,2,14,0.05115331,0.04996147,0.05331225
500,512,0.0,0.003,2,16,0.05799694,0.05653738,0.05898863
500,512,0.0,0.003,2,19,0.04237191,0.04112438,0.04332444
500,512,0.0,0.003,2,22,0.03211759,0.03112146,0.03386932
500,512,0.0,0.003,2,26,0.02992352,0.02898058,0.03182971
500,512,0.0,0.003,2,30,0.02327886,0.02248316,0.0247074
500,512,0.0,0.003,2,34,0.02187174,0.02134575,0.02281574
500,512,0.0,0.003,2,40,0.01841094,0.01805672,0.01957514
500,512,0.0,0.003,2,46,0.01607172,0.01580976,0.01720162
500,512,0.0,0.003,2,54,0.01367608,0.01354446,0.01471537
500,512,0.0,0.003,2,62,0.01190553,0.01177079,0.0128719
500,512,0.0,0.003,2,72,0.01001012,0.00987834,0.01084778
500,512,0.0,0.003,2,83,0.00839318,0.0082927,0.00915884
500,512,0.0,0.003,2,97,0.00688314,0.00682014,0.00752769
500,512,0.0,0.003,2,112,0.00561698,0.00559164,0.00618816
500,512,0.0,0.003,2,130,0.00455668,0.00453989,0.00504074
500,512,0.0,0.003,2,150,0.00377578,0.00377135,0.00420402
500,512,0.0,0.003,2,174,0.00306871,0.00307723,0.00343945
500,512,0.0,0.003,2,202,0.00247668,0.00248698,0.00278693
500,512,0.0,0.003,2,234,0.0019673,0.00196714,0.00222693
500,512,0.0,0.003,2,271,0.00156176,0.00156004,0.00177987
500,512,0.0,0.003,2,314,0.0018025,0.00176479,0.00197723
500,512,0.0,0.003,2,364,0.00097552,0.0010017,0.00115405
500,512,0.0,0.003,2,422,0.00075887,0.00079924,0.00092063
500,512,0.0,0.003,2,489,0.0005889,0.00064037,0.00073797
500,512,0.0,0.003,2,567,0.00055892,0.00062815,0.00070618
500,512,0.0,0.003,2,657,0.00040336,0.00047128,0.00053442
500,512,0.0,0.003,2,761,0.00027321,0.00033881,0.0003896
500,512,0.0,0.003,2,882,0.00021948,0.00028061,0.00032396
500,512,0.0,0.003,2,1023,0.00016519,0.00022588,0.00026305
500,512,0.0,0.003,2,1185,0.00012826,0.00018276,0.00021249
500,512,0.0,0.003,2,1373,9.19e-05,0.00014098,0.00016515
500,512,0.0,0.003,2,1592,8.489e-05,0.00012978,0.00014989
500,512,0.0,0.003,2,1844,5.34e-05,9.319e-05,0.00011047
500,512,0.0,0.003,2,2137,0.00020914,0.0002361,0.00025688
500,512,0.0,0.003,2,2477,4.202e-05,7.565e-05,8.793e-05
500,512,0.0,0.003,2,2871,0.00027769,0.00029556,0.00031331
500,512,0.0,0.003,2,3327,0.00042965,0.00044092,0.00045813
500,512,0.0,0.003,2,3855,6.61e-05,8.66e-05,9.34e-05
500,512,0.0,0.003,2,4468,1.137e-05,3.033e-05,3.49e-05
500,512,0.0,0.003,2,5177,1.092e-05,2.801e-05,3.066e-05
500,512,0.0,0.003,2,6000,7.97e-06,2.256e-05,2.489e-05
1000,512,0.0,0.001,2,0,0.06442357,0.06283319,0.06546505
1000,512,0.0,0.001,2,1,0.55929744,0.55672568,0.55023736
1000,512,0.0,0.001,2,2,0.53751749,0.52740431,0.51870573
1000,512,0.0,0.001,2,3,0.12873083,0.12680095,0.12713851
1000,512,0.0,0.001,2,4,0.05131601,0.05045601,0.05288957
1000,512,0.0,0.001,2,5,0.15593369,0.15333693,0.15400174
1000,512,0.0,0.001,2,6,0.06940281,0.06874031,0.06998172
1000,512,0.0,0.001,2,7,0.03595285,0.03539095,0.03735757
1000,512,0.0,0.001,2,8,0.11605822,0.11310603,0.11404593
1000,512,0.0,0.001,2,9,0.11744384,0.11437832,0.11489666
1000,512,0.0,0.001,2,11,0.02391215,0.02426398,0.02626806
1000,512,0.0,0.001,2,12,0.05835342,0.05872824,0.06027678
1000,512,0.0,0.001,2,14,0.04170199,0.04178302,0.04309278
1000,512,0.0,0.001,2,16,0.01991665,0.01945815,0.02104486
1000,512,0.0,0.001,2,19,0.03554905,0.03463066,0.03609229
1000,512,0.0,0.001,2,22,0.01382934,0.01348586,0.01481731
1000,512,0.0,0.001,2,26,0.01908643,0.0190167,0.01990667
1000,512,0.0,0.001,2,30,0.01251251,0.01221778,0.01337492
1000,512,0.0,0.001,2,34,0.01251534,0.01217808,0.01305384
1000,512,0.0,0.001,2,40,0.0099493,0.00975635,0.01059649
1000,512,0.0,0.001,2,46,0.00762654,0.00739442,0.00809099
1000,512,0.0,0.001,2,54,0.00607615,0.00596392,0.00653511
1000,512,0.0,0.001,2,62,0.00467394,0.00454188,0.00500138
1000,512,0.0,0.001,2,72,0.00322873,0.00315536,0.00351348
1000,512,0.0,0.001,2,83,0.00228386,0.00221045,0.00247468
1000,512,0.0,0.001,2,97,0.00164526,0.00158458,0.00178748
1000,512,0.0,0.001,2,112,0.00122482,0.00117938,0.00134279
1000,512,0.0,0.001,2,130,0.00088108,0.00085968,0.00097933
1000,512,0.0,0.001,2,150,0.00062908,0.00062068,0.00070986
1000,512,0.0,0.001,2,174,0.00043842,0.00043709,0.00050358
1000,512,0.0,0.001,2,202,0.00031059,0.00031308,0.00036341
1000,512,0.0,0.001,2,234,0.00022889,0.00023204,0.0002707
1000,512,0.0,0.001,2,271,0.00018428,0.00018796,0.00022045
