n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,512,0.1,0.001,1,2633729,131.6865,6000,256,83,0,0.02060482,0.00269979,0.02100661,0.0031512,0.02092491,0.00309505,0.00045141,1.03024095,0.02,0.05153481,0.4,0.6684,1,17.87
500,512,0.1,0.003,1,2633729,131.6865,6000,256,314,0,0.01908512,0.0021354,0.019858,0.00276337,0.01976549,0.00271884,0.00062797,0.95425583,0.02,0.04351635,0.55,0.91905,1,13.04
1000,512,0.1,0.001,1,2633729,65.8432,6000,256,83,0,0.02051914,0.00272555,0.02075514,0.00299493,0.02068286,0.0029475,0.00026938,1.02595696,0.02,0.04573685,0.45,0.75195,1,12.43
1000,512,0.1,0.003,1,2633729,65.8432,6000,256,271,0,0.01982988,0.00219146,0.02025625,0.00257751,0.02019497,0.00255202,0.00038605,0.99149412,0.02,0.03283865,0.55,0.91905,1,12.43
2000,512,0.1,0.001,1,2633729,32.9216,6000,256,97,0,0.01874911,0.0028131,0.0188235,0.00289276,0.01879776,0.00288036,7.965e-05,0.93745543,0.02,0.04124973,0.55,0.91905,1,12.36
2000,512,0.1,0.003,1,2633729,32.9216,6000,256,271,0,0.02027587,0.00233141,0.02043936,0.00246509,0.02037861,0.00244236,0.00013369,1.01379342,0.02,0.02055199,0.55,0.91905,1,12.43
5000,512,0.1,0.001,1,2633729,13.1686,6000,256,97,0,0.01877555,0.0028167,0.01880389,0.0028734,0.01878363,0.00286334,5.67e-05,0.93877725,0.02,0.01531155,0.55,0.91905,1,12.4
5000,512,0.1,0.003,1,2633729,13.1686,6000,256,271,0,0.02025415,0.00231902,0.02035875,0.0024073,0.02030902,0.00240104,8.828e-05,1.01270769,0.02,0.00950406,0.55,0.91905,1,12.41
10000,512,0.1,0.001,1,2633729,6.5843,6000,256,83,0,0.02069606,0.00283408,0.02060791,0.00284533,0.02056481,0.00282208,1.125e-05,1.03480285,0.02,0.00864973,0.45,0.75195,1,12.34
10000,512,0.1,0.003,1,2633729,6.5843,6000,256,314,0,0.01960538,0.00231781,0.01954097,0.00230932,0.0194856,0.00228454,-8.48e-06,0.98026879,0.02,0.00828584,0.6,1.0026,1,12.37
20000,512,0.1,0.001,1,2633729,3.2922,6000,256,97,0,0.01872851,0.0028227,0.01871502,0.00282526,0.01869749,0.00281704,2.57e-06,0.93642548,0.02,0.00822329,0.55,0.91905,1,12.36
20000,512,0.1,0.003,1,2633729,3.2922,6000,256,271,0,0.02014169,0.00237453,0.0201846,0.00237867,0.02014926,0.0023628,4.14e-06,1.00708436,0.02,0.00816815,0.55,0.91905,1,12.37
