n_train,hidden,noise,lr,seed,n_params,params_per_patch,step_budget,batch_size,step_of_best,best_at_boundary,best_train_mse_noisy,best_train_mse_clean,best_val_mse_noisy,best_val_mse_clean,best_test_mse_noisy,best_test_mse_clean,gen_gap_clean,train_vs_noise_floor,noise_floor,final_val_mse_clean,valid_time_mtu,valid_time_lyap,stable,wall_s
500,128,0.1,0.001,1,166913,8.3456,6000,256,46,0,0.02170914,0.00386551,0.02236823,0.0045704,0.0221879,0.00440689,0.00070489,1.08545702,0.02,0.06345438,0.35,0.58485,1,8.87
500,128,0.1,0.003,1,166913,8.3456,6000,256,46,0,0.01952403,0.00349065,0.02000535,0.00400463,0.01993814,0.00393486,0.00051399,0.97620161,0.02,0.05084804,0.4,0.6684,1,8.11
1000,128,0.1,0.001,1,166913,4.1728,6000,256,54,0,0.01871224,0.00409887,0.01904603,0.00446373,0.01897742,0.00438434,0.00036486,0.93561197,0.02,0.03421618,0.5,0.8355,1,7.87
1000,128,0.1,0.003,1,166913,4.1728,6000,256,46,0,0.01970807,0.0033637,0.01999377,0.00366778,0.01993786,0.00361346,0.00030408,0.98540345,0.02,0.05096205,0.4,0.6684,1,7.85
2000,128,0.1,0.001,1,166913,2.0864,6000,256,46,0,0.02156473,0.00394328,0.0218184,0.00419124,0.02167863,0.00406863,0.00024796,1.07823629,0.02,0.01200697,0.35,0.58485,1,7.78
2000,128,0.1,0.003,1,166913,2.0864,6000,256,46,0,0.02057661,0.00364984,0.02072825,0.00380256,0.02067114,0.00375221,0.00015273,1.02883065,0.02,0.04134096,0.35,0.58485,1,7.79
5000,128,0.1,0.001,1,166913,0.8346,6000,256,54,0,0.01913602,0.00407139,0.01924555,0.00419982,0.01916859,0.0041149,0.00012843,0.95680114,0.02,0.00830727,0.5,0.8355,1,7.89
5000,128,0.1,0.003,1,166913,0.8346,6000,256,46,0,0.02001275,0.00350011,0.02009154,0.00359724,0.02005841,0.00356483,9.713e-05,1.00063747,0.02,0.01388417,0.4,0.6684,1,7.81
10000,128,0.1,0.001,1,166913,0.4173,6000,256,54,0,0.01944639,0.00420872,0.01941449,0.00426309,0.01935049,0.00419555,5.437e-05,0.97231958,0.02,0.00815392,0.45,0.75195,1,7.09
10000,128,0.1,0.003,1,166913,0.4173,6000,256,40,0,0.02218435,0.00359042,0.0221712,0.0036668,0.022099,0.00361279,7.638e-05,1.10921767,0.02,0.00865434,0.35,0.58485,1,7.07
20000,128,0.1,0.001,1,166913,0.2086,6000,256,46,0,0.02207539,0.00429295,0.02220323,0.00438239,0.02205737,0.00425187,8.944e-05,1.10376952,0.02,0.00795859,0.35,0.58485,1,7.06
20000,128,0.1,0.003,1,166913,0.2086,6000,256,46,0,0.01986299,0.00372705,0.01988449,0.00374569,0.01987263,0.0037281,1.864e-05,0.99314945,0.02,0.00807457,0.5,0.8355,1,7.85
