n_train,hidden,noise,lr,seed,step,train_mse_clean,val_mse_clean,test_mse_clean
500,512,0.1,0.001,0,0,0.06499846,0.06643109,0.06911983
500,512,0.1,0.001,0,1,0.52100527,0.50504792,0.50103259
500,512,0.1,0.001,0,2,0.74610865,0.74195933,0.74388272
500,512,0.1,0.001,0,3,0.14797263,0.14905332,0.15185383
500,512,0.1,0.001,0,4,0.04504791,0.04403298,0.04466543
500,512,0.1,0.001,0,5,0.12959844,0.12614487,0.1248605
500,512,0.1,0.001,0,6,0.05933418,0.05790713,0.05802707
500,512,0.1,0.001,0,7,0.04687009,0.04771596,0.04977189
500,512,0.1,0.001,0,8,0.14038733,0.14164397,0.14404479
500,512,0.1,0.001,0,9,0.10338536,0.10460147,0.10669804
500,512,0.1,0.001,0,11,0.05355686,0.05175084,0.05182263
500,512,0.1,0.001,0,12,0.08951294,0.08671247,0.0862686
500,512,0.1,0.001,0,14,0.01642432,0.0163619,0.01739394
500,512,0.1,0.001,0,16,0.05575825,0.05637972,0.05786504
500,512,0.1,0.001,0,19,0.0144331,0.01434289,0.01512395
500,512,0.1,0.001,0,22,0.02688118,0.02624923,0.02660405
500,512,0.1,0.001,0,26,0.01896167,0.01941557,0.02038736
500,512,0.1,0.001,0,30,0.01189685,0.01194464,0.01263967
500,512,0.1,0.001,0,34,0.01395909,0.01345768,0.0138174
500,512,0.1,0.001,0,40,0.01028913,0.01044008,0.01112694
500,512,0.1,0.001,0,46,0.00790178,0.00773614,0.00812328
500,512,0.1,0.001,0,54,0.00651943,0.00663507,0.00707815
500,512,0.1,0.001,0,62,0.00475724,0.00483628,0.0051073
500,512,0.1,0.001,0,72,0.00357334,0.00371639,0.00391468
500,512,0.1,0.001,0,83,0.00276344,0.00291724,0.00306271
500,512,0.1,0.001,0,97,0.00265559,0.00280787,0.0028986
500,512,0.1,0.001,0,112,0.00332704,0.00345762,0.00353647
500,512,0.1,0.001,0,130,0.00506672,0.00516305,0.00525908
500,512,0.1,0.001,0,150,0.00750576,0.00761052,0.00771411
500,512,0.1,0.001,0,174,0.00802144,0.00816513,0.00825624
500,512,0.1,0.001,0,202,0.00799973,0.00822536,0.0083024
500,512,0.1,0.001,0,234,0.00789542,0.00817092,0.00823777
500,512,0.1,0.001,0,271,0.00801353,0.00831077,0.00838399
500,512,0.1,0.001,0,314,0.00796176,0.00831009,0.00835572
500,512,0.1,0.001,0,364,0.00835577,0.00871241,0.00875167
500,512,0.1,0.001,0,422,0.00857966,0.00899799,0.00903818
500,512,0.1,0.001,0,489,0.0084991,0.00901269,0.00906408
500,512,0.1,0.001,0,567,0.0082053,0.00880854,0.0088431
500,512,0.1,0.001,0,657,0.00838573,0.0090804,0.00912602
500,512,0.1,0.001,0,761,0.00870384,0.0095492,0.00960911
500,512,0.1,0.001,0,882,0.00901607,0.01008192,0.01011638
500,512,0.1,0.001,0,1023,0.00907491,0.01029838,0.01042042
500,512,0.1,0.001,0,1185,0.00933206,0.01097435,0.01109012
500,512,0.1,0.001,0,1373,0.00953842,0.01171931,0.0119661
500,512,0.1,0.001,0,1592,0.00974101,0.0130319,0.01332913
500,512,0.1,0.001,0,1844,0.01174054,0.01767628,0.01803628
500,512,0.1,0.001,0,2137,0.0133025,0.0240903,0.02469358
500,512,0.1,0.001,0,2477,0.01598706,0.03532284,0.03628159
500,512,0.1,0.001,0,2871,0.01755399,0.04458774,0.04571691
500,512,0.1,0.001,0,3327,0.01889086,0.05253972,0.05368955
500,512,0.1,0.001,0,3855,0.01946025,0.05510065,0.05624955
500,512,0.1,0.001,0,4468,0.01963593,0.05585254,0.0568901
500,512,0.1,0.001,0,5177,0.019935,0.05493638,0.05580722
500,512,0.1,0.001,0,6000,0.01989242,0.05218645,0.05290379
500,512,0.1,0.003,0,0,0.06499846,0.06643109,0.06911983
500,512,0.1,0.003,0,1,5.37027597,5.25080919,5.23316765
500,512,0.1,0.003,0,2,99.9686203,98.32640076,97.95378876
500,512,0.1,0.003,0,3,6.35096455,6.31047726,6.30819607
500,512,0.1,0.003,0,4,0.12939574,0.12849018,0.12895326
500,512,0.1,0.003,0,5,0.98187792,0.97645545,0.96479118
500,512,0.1,0.003,0,6,0.23858622,0.24115551,0.24012265
500,512,0.1,0.003,0,7,0.26721162,0.26256612,0.26633653
500,512,0.1,0.003,0,8,0.57235992,0.57296747,0.5785566
500,512,0.1,0.003,0,9,0.49202055,0.49746659,0.50465643
500,512,0.1,0.003,0,11,0.14602502,0.14768282,0.1517788
500,512,0.1,0.003,0,12,0.08877043,0.08859777,0.09080166
500,512,0.1,0.003,0,14,0.08084023,0.08051753,0.08096342
500,512,0.1,0.003,0,16,0.08011467,0.08085078,0.08125186
500,512,0.1,0.003,0,19,0.06212229,0.06312656,0.0643516
500,512,0.1,0.003,0,22,0.04943393,0.0505308,0.05230063
500,512,0.1,0.003,0,26,0.0376007,0.03869075,0.04051115
500,512,0.1,0.003,0,30,0.03084874,0.03147045,0.03313058
500,512,0.1,0.003,0,34,0.02688395,0.02716822,0.02876922
500,512,0.1,0.003,0,40,0.02201506,0.02205777,0.02332954
500,512,0.1,0.003,0,46,0.01827285,0.01823053,0.01933567
500,512,0.1,0.003,0,54,0.01503911,0.01495976,0.01592914
500,512,0.1,0.003,0,62,0.01327821,0.01321388,0.0141002
500,512,0.1,0.003,0,72,0.01137415,0.01130812,0.01217391
500,512,0.1,0.003,0,83,0.00951051,0.0095285,0.01027682
500,512,0.1,0.003,0,97,0.00775572,0.0077616,0.00835482
500,512,0.1,0.003,0,112,0.00664536,0.00668118,0.00720527
500,512,0.1,0.003,0,130,0.00573165,0.00582337,0.00628504
500,512,0.1,0.003,0,150,0.0050255,0.0051658,0.00559957
500,512,0.1,0.003,0,174,0.0043633,0.00453686,0.00494196
500,512,0.1,0.003,0,202,0.00380122,0.00401574,0.00433813
500,512,0.1,0.003,0,234,0.00324453,0.00347637,0.00376415
500,512,0.1,0.003,0,271,0.00282045,0.00310253,0.00335155
500,512,0.1,0.003,0,314,0.00259937,0.00293137,0.00314101
500,512,0.1,0.003,0,364,0.00296274,0.00329506,0.00350484
500,512,0.1,0.003,0,422,0.00393131,0.00434532,0.00453736
500,512,0.1,0.003,0,489,0.00625472,0.00676453,0.00697226
500,512,0.1,0.003,0,567,0.00722939,0.00784437,0.00808074
500,512,0.1,0.003,0,657,0.00787371,0.00859532,0.00880143
500,512,0.1,0.003,0,761,0.00807461,0.00889729,0.00907936
500,512,0.1,0.003,0,882,0.00824534,0.00921104,0.00934699
500,512,0.1,0.003,0,1023,0.0088508,0.00996609,0.01008977
500,512,0.1,0.003,0,1185,0.00883303,0.01017923,0.01030851
500,512,0.1,0.003,0,1373,0.00900491,0.01054937,0.0106606
500,512,0.1,0.003,0,1592,0.00919361,0.01108567,0.01121076
500,512,0.1,0.003,0,1844,0.00964254,0.01210407,0.01225041
500,512,0.1,0.003,0,2137,0.01059527,0.01393662,0.01408199
500,512,0.1,0.003,0,2477,0.01123967,0.0156101,0.01581351
500,512,0.1,0.003,0,2871,0.01141958,0.01745015,0.01768134
500,512,0.1,0.003,0,3327,0.01248236,0.02015746,0.02045336
500,512,0.1,0.003,0,3855,0.01398882,0.02624849,0.02662182
500,512,0.1,0.003,0,4468,0.01669971,0.03364754,0.03401869
500,512,0.1,0.003,0,5177,0.01822578,0.03888636,0.03930094
500,512,0.1,0.003,0,6000,0.01899819,0.04220936,0.04251623
1000,512,0.1,0.001,0,0,0.06602091,0.06643109,0.06911983
1000,512,0.1,0.001,0,1,0.51305234,0.50576085,0.50179183
1000,512,0.1,0.001,0,2,0.72084433,0.71505338,0.71711093
1000,512,0.1,0.001,0,3,0.13950071,0.1391578,0.14202754
1000,512,0.1,0.001,0,4,0.04149636,0.04153125,0.04220331
1000,512,0.1,0.001,0,5,0.11010754,0.10950505,0.10847112
1000,512,0.1,0.001,0,6,0.05063848,0.05056422,0.050842
1000,512,0.1,0.001,0,7,0.05007217,0.0501854,0.05219701
1000,512,0.1,0.001,0,8,0.13482055,0.13459969,0.13683759
1000,512,0.1,0.001,0,9,0.08165553,0.08181618,0.08370333
1000,512,0.1,0.001,0,11,0.07285175,0.07197279,0.07185565
1000,512,0.1,0.001,0,12,0.07453885,0.0735663,0.07339634
1000,512,0.1,0.001,0,14,0.02890055,0.02934259,0.03059265
1000,512,0.1,0.001,0,16,0.04411433,0.0444564,0.04585225
1000,512,0.1,0.001,0,19,0.03351171,0.03366838,0.03386362
1000,512,0.1,0.001,0,22,0.01150021,0.01187092,0.01258551
1000,512,0.1,0.001,0,26,0.01578924,0.01614117,0.01683548
1000,512,0.1,0.001,0,30,0.01626757,0.01620694,0.01650472
1000,512,0.1,0.001,0,34,0.00979262,0.0100958,0.01069088
1000,512,0.1,0.001,0,40,0.0078243,0.00803866,0.00845697
1000,512,0.1,0.001,0,46,0.00670326,0.00694448,0.00737522
1000,512,0.1,0.001,0,54,0.00589468,0.00610268,0.00635232
1000,512,0.1,0.001,0,62,0.00418673,0.00439562,0.0046511
1000,512,0.1,0.001,0,72,0.00323794,0.00342807,0.00361232
1000,512,0.1,0.001,0,83,0.00280658,0.00298453,0.00310616
1000,512,0.1,0.001,0,97,0.00291798,0.00305469,0.00313514
1000,512,0.1,0.001,0,112,0.00397195,0.00407536,0.00414572
1000,512,0.1,0.001,0,130,0.00606106,0.00613481,0.00621542
1000,512,0.1,0.001,0,150,0.00782019,0.00788608,0.00798628
1000,512,0.1,0.001,0,174,0.00799353,0.00806022,0.0081539
1000,512,0.1,0.001,0,202,0.00775258,0.00782368,0.00790865
1000,512,0.1,0.001,0,234,0.00784871,0.00793804,0.00802894
1000,512,0.1,0.001,0,271,0.00793773,0.00805012,0.0081212
1000,512,0.1,0.001,0,314,0.00771341,0.00783582,0.00789926
1000,512,0.1,0.001,0,364,0.0091504,0.00926427,0.00932025
1000,512,0.1,0.001,0,422,0.0085624,0.00874382,0.00880131
1000,512,0.1,0.001,0,489,0.00827001,0.00844696,0.00848105
1000,512,0.1,0.001,0,567,0.00849629,0.00874292,0.00876895
1000,512,0.1,0.001,0,657,0.00828318,0.0085585,0.00857693
1000,512,0.1,0.001,0,761,0.00822624,0.00853398,0.00857587
1000,512,0.1,0.001,0,882,0.00847284,0.00882179,0.00885392
1000,512,0.1,0.001,0,1023,0.00844262,0.0088348,0.00890573
1000,512,0.1,0.001,0,1185,0.0079863,0.00847821,0.00853896
1000,512,0.1,0.001,0,1373,0.00878841,0.00939959,0.00948347
1000,512,0.1,0.001,0,1592,0.00885073,0.00970797,0.0097894
1000,512,0.1,0.001,0,1844,0.00913213,0.01038772,0.01047584
1000,512,0.1,0.001,0,2137,0.00954832,0.01152217,0.01168987
1000,512,0.1,0.001,0,2477,0.01067377,0.01434379,0.01457349
1000,512,0.1,0.001,0,2871,0.01240302,0.0195917,0.01997956
1000,512,0.1,0.001,0,3327,0.01485621,0.0281361,0.02869621
1000,512,0.1,0.001,0,3855,0.01784022,0.04020483,0.04076835
1000,512,0.1,0.001,0,4468,0.01944428,0.04674579,0.0471933
1000,512,0.1,0.001,0,5177,0.01969036,0.0477122,0.04810823
1000,512,0.1,0.001,0,6000,0.01979713,0.04639781,0.04670699
1000,512,0.1,0.003,0,0,0.06602091,0.06643109,0.06911983
1000,512,0.1,0.003,0,1,5.38141775,5.31457949,5.2978735
1000,512,0.1,0.003,0,2,96.00772858,94.94327545,94.58213806
1000,512,0.1,0.003,0,3,5.92401934,5.87672997,5.87882662
1000,512,0.1,0.003,0,4,0.15170449,0.15184434,0.15177903
1000,512,0.1,0.003,0,5,0.91645133,0.91740924,0.90470487
1000,512,0.1,0.003,0,6,0.21354784,0.21462917,0.21374345
1000,512,0.1,0.003,0,7,0.28775412,0.28260982,0.28714228
1000,512,0.1,0.003,0,8,0.58380383,0.57973409,0.58629811
1000,512,0.1,0.003,0,9,0.48912954,0.48825961,0.49625453
1000,512,0.1,0.003,0,11,0.13882698,0.13919285,0.14345351
1000,512,0.1,0.003,0,12,0.08625244,0.08607884,0.08830766
1000,512,0.1,0.003,0,14,0.08155248,0.08088335,0.08132437
1000,512,0.1,0.003,0,16,0.07858326,0.07842775,0.07891538
1000,512,0.1,0.003,0,19,0.0625082,0.06304237,0.06427486
1000,512,0.1,0.003,0,22,0.04520936,0.04602018,0.04775972
1000,512,0.1,0.003,0,26,0.03893724,0.03960193,0.04136369
1000,512,0.1,0.003,0,30,0.0303058,0.03095379,0.0326555
1000,512,0.1,0.003,0,34,0.02617334,0.02663169,0.0280405
1000,512,0.1,0.003,0,40,0.02067954,0.02117056,0.02255579
1000,512,0.1,0.003,0,46,0.0174217,0.01779001,0.01886149
1000,512,0.1,0.003,0,54,0.01416363,0.01465239,0.01569667
1000,512,0.1,0.003,0,62,0.01234298,0.01273922,0.01354856
1000,512,0.1,0.003,0,72,0.01058496,0.01097906,0.01184901
1000,512,0.1,0.003,0,83,0.00895313,0.00935157,0.01009856
1000,512,0.1,0.003,0,97,0.00732854,0.0077489,0.00838558
1000,512,0.1,0.003,0,112,0.0061716,0.00655224,0.00707488
1000,512,0.1,0.003,0,130,0.00531715,0.00568402,0.00614762
1000,512,0.1,0.003,0,150,0.00463399,0.00497265,0.00538694
1000,512,0.1,0.003,0,174,0.00404197,0.00437422,0.00474599
1000,512,0.1,0.003,0,202,0.00357784,0.00390558,0.00423681
1000,512,0.1,0.003,0,234,0.00306372,0.00339063,0.00368523
1000,512,0.1,0.003,0,271,0.00279984,0.0031089,0.0033392
1000,512,0.1,0.003,0,314,0.00257114,0.00287175,0.00305972
1000,512,0.1,0.003,0,364,0.00288645,0.00317515,0.00333257
1000,512,0.1,0.003,0,422,0.0036671,0.00396041,0.00413962
1000,512,0.1,0.003,0,489,0.00838555,0.00866007,0.00882736
1000,512,0.1,0.003,0,567,0.00769348,0.00804301,0.0082065
1000,512,0.1,0.003,0,657,0.00855895,0.00889408,0.00907067
1000,512,0.1,0.003,0,761,0.00808708,0.00847279,0.00859721
1000,512,0.1,0.003,0,882,0.00816282,0.00861326,0.00870731
1000,512,0.1,0.003,0,1023,0.00838551,0.00887418,0.00895386
1000,512,0.1,0.003,0,1185,0.00823304,0.00876397,0.0088512
1000,512,0.1,0.003,0,1373,0.00846499,0.00906635,0.00914587
1000,512,0.1,0.003,0,1592,0.00912503,0.00982034,0.00989533
1000,512,0.1,0.003,0,1844,0.00908828,0.00993866,0.00997651
1000,512,0.1,0.003,0,2137,0.0088218,0.00986177,0.00993187
1000,512,0.1,0.003,0,2477,0.00908588,0.01038695,0.01047942
1000,512,0.1,0.003,0,2871,0.00940725,0.01108441,0.01119271
1000,512,0.1,0.003,0,3327,0.01013506,0.01249216,0.01266896
1000,512,0.1,0.003,0,3855,0.01071361,0.01431344,0.01456042
1000,512,0.1,0.003,0,4468,0.01174595,0.01725974,0.01755563
1000,512,0.1,0.003,0,5177,0.01440571,0.02446528,0.02481203
1000,512,0.1,0.003,0,6000,0.01778071,0.03262059,0.03313474
2000,512,0.1,0.001,0,0,0.06623647,0.06643109,0.06911983
2000,512,0.1,0.001,0,1,0.50327402,0.5020088,0.49802372
2000,512,0.1,0.001,0,2,0.70781422,0.70873839,0.71140438
2000,512,0.1,0.001,0,3,0.14108784,0.14119957,0.14411238
2000,512,0.1,0.001,0,4,0.04388652,0.04426201,0.04488479
2000,512,0.1,0.001,0,5,0.12282091,0.1237072,0.12252988
2000,512,0.1,0.001,0,6,0.05450858,0.05487841,0.05507845
2000,512,0.1,0.001,0,7,0.04807495,0.04839117,0.05041783
2000,512,0.1,0.001,0,8,0.1380098,0.13902149,0.14140861
2000,512,0.1,0.001,0,9,0.09348065,0.09446853,0.09647785
2000,512,0.1,0.001,0,11,0.05913509,0.05889006,0.05899067
2000,512,0.1,0.001,0,12,0.08272857,0.08237353,0.0821962
2000,512,0.1,0.001,0,14,0.01808313,0.01843025,0.01953018
2000,512,0.1,0.001,0,16,0.05262367,0.05311108,0.05457968
2000,512,0.1,0.001,0,19,0.01774787,0.01813122,0.01869005
2000,512,0.1,0.001,0,22,0.0199278,0.02035306,0.02076525
2000,512,0.1,0.001,0,26,0.02032912,0.02067264,0.02158096
2000,512,0.1,0.001,0,30,0.01046256,0.01075032,0.01120837
2000,512,0.1,0.001,0,34,0.01196722,0.01222332,0.0125447
2000,512,0.1,0.001,0,40,0.00974946,0.01006052,0.01064978
2000,512,0.1,0.001,0,46,0.00789363,0.00810143,0.00842085
2000,512,0.1,0.001,0,54,0.00562142,0.00586899,0.00620238
2000,512,0.1,0.001,0,62,0.00448441,0.00469995,0.00498923
2000,512,0.1,0.001,0,72,0.00332462,0.00349689,0.00370132
2000,512,0.1,0.001,0,83,0.00277922,0.00292293,0.00308627
2000,512,0.1,0.001,0,97,0.00280207,0.00292051,0.00301822
2000,512,0.1,0.001,0,112,0.00370768,0.00380997,0.00389884
2000,512,0.1,0.001,0,130,0.00577548,0.00588551,0.0059654
2000,512,0.1,0.001,0,150,0.00822093,0.00832992,0.00840461
2000,512,0.1,0.001,0,174,0.00806174,0.00817037,0.00825668
2000,512,0.1,0.001,0,202,0.00786878,0.00796272,0.00804782
2000,512,0.1,0.001,0,234,0.00912132,0.0092265,0.0092465
2000,512,0.1,0.001,0,271,0.00824985,0.0083488,0.00837414
2000,512,0.1,0.001,0,314,0.0076541,0.00775734,0.00781113
2000,512,0.1,0.001,0,364,0.00781667,0.00791779,0.00797056
2000,512,0.1,0.001,0,422,0.00807174,0.00820212,0.00823313
2000,512,0.1,0.001,0,489,0.00856847,0.00871622,0.00872331
2000,512,0.1,0.001,0,567,0.0081968,0.0083388,0.00837538
2000,512,0.1,0.001,0,657,0.00835161,0.00852864,0.00853518
2000,512,0.1,0.001,0,761,0.00830305,0.00846656,0.00850479
2000,512,0.1,0.001,0,882,0.00813467,0.00832022,0.00834905
2000,512,0.1,0.001,0,1023,0.00815213,0.00834512,0.00837794
2000,512,0.1,0.001,0,1185,0.0086542,0.00889997,0.00890786
2000,512,0.1,0.001,0,1373,0.00828205,0.00850403,0.00854496
2000,512,0.1,0.001,0,1592,0.00832423,0.00861047,0.00865344
2000,512,0.1,0.001,0,1844,0.00831209,0.00865526,0.00870053
2000,512,0.1,0.001,0,2137,0.0083883,0.00884846,0.00888312
2000,512,0.1,0.001,0,2477,0.00838997,0.00900468,0.0090611
2000,512,0.1,0.001,0,2871,0.00923147,0.01029381,0.01036216
2000,512,0.1,0.001,0,3327,0.00975778,0.01169072,0.01182193
2000,512,0.1,0.001,0,3855,0.01099543,0.01529398,0.01556174
2000,512,0.1,0.001,0,4468,0.014665,0.02454361,0.02515975
2000,512,0.1,0.001,0,5177,0.01824019,0.03611767,0.03695286
2000,512,0.1,0.001,0,6000,0.01995424,0.0411009,0.04198001
2000,512,0.1,0.003,0,0,0.06623647,0.06643109,0.06911983
2000,512,0.1,0.003,0,1,5.24965143,5.23500824,5.21807861
2000,512,0.1,0.003,0,2,93.89862061,93.88894653,93.60467529
2000,512,0.1,0.003,0,3,5.8552599,5.83016157,5.83638811
2000,512,0.1,0.003,0,4,0.13632311,0.1371379,0.1372879
2000,512,0.1,0.003,0,5,0.89165342,0.8954519,0.88543886
2000,512,0.1,0.003,0,6,0.23242219,0.2326415,0.23212953
2000,512,0.1,0.003,0,7,0.23299105,0.23451288,0.23900849
2000,512,0.1,0.003,0,8,0.50358242,0.50376344,0.51008177
2000,512,0.1,0.003,0,9,0.44336718,0.44403934,0.45118856
2000,512,0.1,0.003,0,11,0.14067315,0.14299493,0.14687201
2000,512,0.1,0.003,0,12,0.08611139,0.08745145,0.08965924
2000,512,0.1,0.003,0,14,0.07164137,0.0712166,0.07190942
2000,512,0.1,0.003,0,16,0.07046722,0.07017756,0.07079682
2000,512,0.1,0.003,0,19,0.05968561,0.06037643,0.06147747
2000,512,0.1,0.003,0,22,0.04520626,0.04588894,0.04734252
2000,512,0.1,0.003,0,26,0.0365651,0.0370274,0.03855731
2000,512,0.1,0.003,0,30,0.02888192,0.02946762,0.03104117
2000,512,0.1,0.003,0,34,0.0243309,0.02475593,0.02605901
2000,512,0.1,0.003,0,40,0.02018216,0.02055964,0.02190096
2000,512,0.1,0.003,0,46,0.01647719,0.01678854,0.01783316
2000,512,0.1,0.003,0,54,0.01373341,0.01406243,0.01493124
2000,512,0.1,0.003,0,62,0.01185762,0.01221411,0.01306702
2000,512,0.1,0.003,0,72,0.00992438,0.0102791,0.01113718
2000,512,0.1,0.003,0,83,0.00840721,0.00875317,0.00947439
2000,512,0.1,0.003,0,97,0.00701894,0.00734397,0.00791512
2000,512,0.1,0.003,0,112,0.00604187,0.00635145,0.00685156
2000,512,0.1,0.003,0,130,0.0053075,0.00560103,0.0060233
2000,512,0.1,0.003,0,150,0.00466441,0.00493223,0.00529398
2000,512,0.1,0.003,0,174,0.00404344,0.00429303,0.00464847
2000,512,0.1,0.003,0,202,0.00338867,0.0036362,0.00393724
2000,512,0.1,0.003,0,234,0.00294226,0.00318305,0.00341862
2000,512,0.1,0.003,0,271,0.00270794,0.00293954,0.00314153
2000,512,0.1,0.003,0,314,0.00252057,0.00273404,0.00289951
2000,512,0.1,0.003,0,364,0.00288057,0.00309885,0.00327043
2000,512,0.1,0.003,0,422,0.00457085,0.00482139,0.00497933
